REF ENTITY|PRODUCT TYPE|TOTAL NUMBER OFCLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY
CDX.EM.34|Untranched|0|0.0|25,000,000|0
CDX.EM.35|Untranched|0|0.0|25,000,000|0
CDX.EM.36|Untranched|0|0.0|25,000,000|4
CDX.EM.37|Untranched|3|1.0|25,000,000|0
CDX.EM.38|Untranched|0|0.0|25,000,000|2
CDX.EM.39|Untranched|7|6.3|1,300,000,000|100
CDX.EM.40|Untranched|4|1.3|350,000,000|25
CDX.NA.HY.31|Tranched|3|1.0|25,000,000|0
CDX.NA.HY.31|Untranched|0|0.0|100,000,000|2
CDX.NA.HY.32|Untranched|0|0.0|75,000,000|0
CDX.NA.HY.33|Tranched|3|1.3|50,000,000|2
CDX.NA.HY.33|Untranched|0|0.0|175,000,000|3
CDX.NA.HY.34|Untranched|0|0.0|50,000,000|1
CDX.NA.HY.35|Untranched|1|0.3|175,000,000|3
CDX.NA.HY.36|Untranched|0|0.0|100,000,000|1
CDX.NA.HY.37|Tranched|3|1.7|25,000,000|1
CDX.NA.HY.37|Untranched|2|0.7|125,000,000|3
CDX.NA.HY.38|Untranched|0|0.0|150,000,000|3
CDX.NA.HY.39|Tranched|5|2.3|25,000,000|2
CDX.NA.HY.39|Untranched|2|0.7|350,000,000|9
CDX.NA.HY.40|Untranched|9|8.7|6,325,000,000|479
CDX.NA.IG.31|Tranched|2|1.0|25,000,000|0
CDX.NA.IG.31|Untranched|0|0.0|50,000,000|1
CDX.NA.IG.32|Untranched|0|0.0|50,000,000|0
CDX.NA.IG.33|Tranched|2|1.0|25,000,000|0
CDX.NA.IG.33|Untranched|1|0.3|275,000,000|2
CDX.NA.IG.34|Untranched|0|0.0|150,000,000|1
CDX.NA.IG.35|Tranched|2|0.7|25,000,000|0
CDX.NA.IG.35|Untranched|0|0.0|175,000,000|2
CDX.NA.IG.36|Untranched|0|0.0|300,000,000|1
CDX.NA.IG.37|Tranched|2|0.7|25,000,000|0
CDX.NA.IG.37|Untranched|1|0.3|275,000,000|2
CDX.NA.IG.38|Untranched|1|0.3|475,000,000|3
CDX.NA.IG.39|Tranched|4|2.0|50,000,000|1
CDX.NA.IG.39|Untranched|2|1.3|1,025,000,000|9
CDX.NA.IG.40|Untranched|8|8.0|26,750,000,000|426
CDX.NA.IG.41|Untranched|6|2.0|5,925,000,000|114
CMBX.NA.AAA.10|Untranched|4|1.7|25,000,000|1
CMBX.NA.BBB-.6|Untranched|2|1.3|25,000,000|3
ITRAXX ASIA EX-JAPAN IG SERIES 32|Untranched|0|0.0|25,000,000|0
ITRAXX ASIA EX-JAPAN IG SERIES 33|Untranched|0|0.0|25,000,000|0
ITRAXX ASIA EX-JAPAN IG SERIES 39|Untranched|7|3.7|425,000,000|29
ITRAXX AUSTRALIA SERIES 39|Untranched|3|1.7|175,000,000|9
ITRAXX EUROPE CROSSOVER SERIES 30|Untranched|1|0.3|50,000,000|1
ITRAXX EUROPE CROSSOVER SERIES 31|Untranched|0|0.0|50,000,000|1
ITRAXX EUROPE CROSSOVER SERIES 32|Untranched|0|0.0|175,000,000|2
ITRAXX EUROPE CROSSOVER SERIES 33|Untranched|1|0.3|175,000,000|2
ITRAXX EUROPE CROSSOVER SERIES 34|Untranched|0|0.0|225,000,000|4
ITRAXX EUROPE CROSSOVER SERIES 35|Untranched|1|0.3|75,000,000|1
ITRAXX EUROPE CROSSOVER SERIES 36|Tranched|5|3.7|50,000,000|4
ITRAXX EUROPE CROSSOVER SERIES 36|Untranched|4|2.7|375,000,000|6
ITRAXX EUROPE CROSSOVER SERIES 37|Untranched|2|1.0|325,000,000|4
ITRAXX EUROPE CROSSOVER SERIES 38|Untranched|6|4.3|500,000,000|16
ITRAXX EUROPE CROSSOVER SERIES 39|Untranched|9|9.0|4,825,000,000|296
