Reference EntityFEDERATIVE REPUBLIC OF BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                                   4,699,543,189 |Average Number of Trades/Week                                                 542 |Notional traded in prior 8 Weeks                               30,319,658,485 |Contracts traded in prior 8 Weeks                                              3,142 |DC RegionAmericas
DUKE REALTY LIMITED PARTNERSHIP|FINANCIALS|CORP|                                            250,000 |                                                    1 |                                                 -   |                                                  -   |Americas
TEXTRON FINANCIAL CORPORATION|INDUSTRIALS|CORP|                                            246,154 |                                                    1 |                                                 -   |                                                  -   |Americas
THE CHUGOKU ELECTRIC POWER COMPANY, INCORPORATED|UTILITIES|CORP|                                            236,344 |                                                    1 |                                      4,970,185 |                                                   1 |Japan
MPLX LP|ENERGY|CORP|                                            230,769 |                                                    1 |                                                 -   |                                                  -   |Americas
PHH CORPORATION|FINANCIALS|CORP|                                            230,769 |                                                    1 |                                      6,000,000 |                                                   2 |Americas
CANADIAN NATIONAL RAILWAY COMPANY|INDUSTRIALS|CORP|                                            230,769 |                                                    1 |                                                 -   |                                                  -   |Americas
FLEXTRONICS CORPORATION|TECHNOLOGY|CORP|                                            230,769 |                                                    1 |                                      6,000,000 |                                                   1 |Americas
STATE OF NEW YORK|GOVERNMENT|MUNI|                                            226,947 |                                                    1 |                                      5,900,630 |                                                   2 |Americas
SOLVAY FRANCE|BASIC MATERIALS|CORP|                                            217,912 |                                                    1 |                                                 -   |                                                  -   |Europe
ENDESA, S.A.|UTILITIES|CORP|                                            217,912 |                                                    1 |                                      5,665,723 |                                                   1 |Europe
NORDDEUTSCHE LANDESBANK - GIROZENTRALE -|FINANCIALS|STATBODY|                                            217,912 |                                                    1 |                                                 -   |                                                  -   |Europe
THE GOVERNOR AND COMPANY OF THE BANK OF IRELAND|FINANCIALS|STATBODY|                                            217,912 |                                                    1 |                                      5,665,723 |                                                   2 |Europe
TELEVISION FRANCAISE 1|CONSUMER SERVICES|CORP|                                            217,912 |                                                    1 |                                                 -   |                                                  -   |
