Reference           EntityFEDERATIVE REPUBLIC OF           BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ) 1,760,779,758|Average Number of Trades/Week 195           |Notional traded in prior 8 Weeks 10,544,193,061|Contracts traded in prior 8 Weeks 1,136           |DC RegionAmericas
VIRGIN MEDIA FINANCE PLC|TELECOMMUNICATIONS SERVICES           |CORP|120,704,119 |27 |602,451,475 |159 |Europe
MORGAN STANLEY|FINANCIALS|CORP|120,403,636 |18 |547,831,070 |88 |Americas
CREDIT SUISSE GROUP AG|FINANCIALS|CORP|119,151,076 |17 |911,976,256 |133 |Europe
CITIGROUP INC.|FINANCIALS|CORP|117,698,741 |16 |427,602,193 |78 |Americas
JAGUAR LAND ROVER           AUTOMOTIVE PLC|CONSUMER GOODS|CORP|117,661,552 |41 |896,542,898 |393 |Europe
HELLENIC REPUBLIC|GOVERNMENT|SOV|117,512,215 |18 |796,212,834 |89 |Europe
DAIMLER AG|CONSUMER GOODS|CORP|115,430,696 |22 |929,676,562 |192 |Europe
ARCELORMITTAL|BASIC MATERIALS|CORP|115,199,363 |33 |504,854,468 |127 |Europe
ARGENTINE REPUBLIC|GOVERNMENT|SOV|114,237,024 |43 |1,031,507,756 |478 |Americas
TELEFONICA, S.A.|TELECOMMUNICATIONS SERVICES           |CORP|113,361,933 |17 |895,014,692 |147 |Europe
GENERAL MOTORS COMPANY|CONSUMER GOODS|CORP|113,189,792 |45 |593,560,200 |289 |Americas
PRUDENTIAL FINANCIAL, INC.|FINANCIALS|CORP|113,002,892 |21 |368,220,000 |80 |Americas
ANHEUSER-BUSCH INBEV|CONSUMER GOODS|CORP|112,807,568 |12 |364,159,008 |69 |Europe
AMERICAN AIRLINES GROUP           INC.|INDUSTRIALS|CORP|111,476,038 |58 |834,828,000 |514 |Americas
NORDSTROM, INC.|CONSUMER SERVICES|CORP|109,521,674 |35 |552,460,000 |216 |Americas
BP P.L.C.|ENERGY|CORP|109,228,924 |13 |997,615,088 |123 |Europe
ENEL S.P.A.|UTILITIES|CORP|108,049,862 |17 |579,226,222 |116 |Europe
THE GAP, INC.|CONSUMER SERVICES|CORP|107,123,037 |29 |560,600,000 |229 |Americas
VODAFONE GROUP PUBLIC           LIMITED COMPANY|TELECOMMUNICATIONS SERVICES           |CORP|106,656,720 |15 |584,896,000 |110 |Europe
AXA|FINANCIALS|CORP|106,573,011 |17 |714,910,115 |111 |Europe
KINGDOM OF SPAIN|GOVERNMENT|SOV|105,527,579 |9 |836,591,754 |63 |Europe
AIRBUS SE|INDUSTRIALS|CORP|105,208,666 |15 |422,899,048 |90 |Europe
UNIBAIL-RODAMCO-WESTFIELD           SE|FINANCIALS|CORP|105,009,452 |21 |691,370,775 |172 |Europe
KOHL'S CORPORATION|CONSUMER SERVICES|CORP|104,071,833 |33 |805,050,350 |322 |Americas
DEVON ENERGY CORPORATION|ENERGY|CORP|103,277,725 |27 |697,566,000 |143 |Americas
TECK RESOURCES LIMITED|ENERGY|CORP|97,335,392           |25 |600,000,000 |132 |Americas
CARREFOUR|CONSUMER SERVICES|CORP|93,866,215           |18 |954,041,518 |213 |Europe
CASINO GUICHARD-PERRACHON|CONSUMER SERVICES|CORP|93,321,061           |32 |684,239,022 |245 |Europe
RENAULT|CONSUMER GOODS|CORP|90,620,370           |22 |580,839,353 |178 |Europe
ADLER REAL ESTATE           AKTIENGESELLSCHAFT|FINANCIALS|CORP|90,395,339           |42 |731,897,647 |267 |Europe
CARNIVAL CORPORATION|CONSUMER SERVICES|CORP|90,107,978           |25 |501,195,000 |156 |Americas
ANGLO AMERICAN PLC|BASIC MATERIALS|CORP|88,831,347           |19 |440,043,310 |115 |Europe
AEGON N.V.|FINANCIALS|CORP|88,829,296           |21 |326,664,793 |104 |Europe
ROYAL CARIBBEAN CRUISES           LTD.|CONSUMER SERVICES|CORP|87,911,985           |26 |593,746,000 |240 |Americas
INTERNATIONAL BUSINESS           MACHINES CORPORATION|TECHNOLOGY|CORP|87,570,046           |13 |476,150,000 |84 |Americas
METLIFE, INC.|FINANCIALS|CORP|87,090,392           |16 |400,350,000 |92 |Americas
MACY'S, INC.|CONSUMER SERVICES|CORP|86,849,231           |27 |541,865,000 |200 |Americas
HESS CORPORATION|ENERGY|CORP|86,276,358           |20 |478,310,000 |159 |Americas
VALEO|CONSUMER GOODS|CORP|85,553,145           |27 |452,076,640 |156 |Europe
HALLIBURTON COMPANY|ENERGY|CORP|85,277,008           |19 |464,000,000 |124 |Americas
CELLNEX TELECOM, S.A.|TELECOMMUNICATIONS SERVICES           |CORP|85,081,701           |17 |743,063,195 |209 |Europe
JOHNSON & JOHNSON|HEALTHCARE|CORP|84,392,708           |9 |343,310,000 |58 |Americas
AMERICAN AXLE &           MANUFACTURING, INC.|CONSUMER GOODS|CORP|84,378,462           |32 |505,325,000 |277 |Americas
APACHE CORPORATION|ENERGY|CORP|83,824,923           |24 |575,150,000 |154 |Americas
MARKS AND SPENCER P.L.C.|CONSUMER SERVICES|CORP|82,779,831           |19 |806,042,745 |158 |Europe
PETROLEOS MEXICANOS|ENERGY|STATBODY|82,407,419           |18 |383,450,000 |111 |Americas
CAMPBELL SOUP COMPANY|CONSUMER GOODS|CORP|82,333,469           |17 |472,785,000 |143 |Americas
SIMON PROPERTY GROUP, L.P.|FINANCIALS|CORP|81,087,854           |15 |387,735,000 |79 |Americas
SOUTHWEST AIRLINES CO.|INDUSTRIALS|CORP|80,970,623           |19 |263,113,000 |91 |Americas
WELLS FARGO & COMPANY|FINANCIALS|CORP|80,157,378           |11 |376,725,000 |70 |Americas
R.R. DONNELLEY & SONS           COMPANY|INDUSTRIALS|CORP|80,003,038           |40 |198,660,000 |75 |Americas
ING GROEP N.V.|FINANCIALS|CORP|79,431,306           |13 |705,102,016 |109 |Europe
TESCO PLC|CONSUMER SERVICES|CORP|79,289,719           |13 |242,032,916 |61 |Europe
PARAMOUNT GLOBAL|CONSUMER SERVICES|CORP|79,005,969           |17 |464,780,000 |113 |Americas
JAPAN|GOVERNMENT|SOV|78,217,404           |6 |416,591,000 |34 |Japan
HEIDELBERGCEMENT AG|INDUSTRIALS|CORP|77,715,667           |20 |381,308,634 |158 |Europe
DISH DBS CORPORATION|CONSUMER SERVICES|CORP|77,494,085           |22 |434,650,074 |192 |Americas
ALTICE FINCO S.A.|TELECOMMUNICATIONS SERVICES           |CORP|76,984,805           |29 |678,568,647 |209 |Europe
THE SHERWIN-WILLIAMS           COMPANY|BASIC MATERIALS|CORP|76,903,392           |12 |307,775,000 |78 |Americas
AMGEN INC.|HEALTHCARE|CORP|76,740,777           |12 |286,295,000 |55 |Americas
BRITISH AMERICAN TOBACCO           P.L.C.|CONSUMER GOODS|CORP|76,497,438           |14 |748,334,116 |128 |Europe
BAYERISCHE MOTOREN WERKE           AKTIENGESELLSCHAFT|CONSUMER GOODS|CORP|76,092,393           |12 |534,805,695 |80 |Europe
ENBRIDGE INC.|ENERGY|CORP|75,723,777           |17 |348,220,000 |95 |Americas
COMMONWEALTH OF AUSTRALIA|GOVERNMENT|SOV|75,049,034           |4 |216,800,000 |13 |Australia NZ
AMERICAN INTERNATIONAL           GROUP, INC.|FINANCIALS|CORP|74,161,162           |17 |269,575,000 |82 |Americas
TOTALENERGIES SE|ENERGY|CORP|73,921,925           |8 |272,072,044 |50 |Europe
SWISS REINSURANCE COMPANY           LTD|FINANCIALS|CORP|73,578,728           |12 |364,899,238 |94 |Europe
UPC HOLDING B.V.|TELECOMMUNICATIONS SERVICES           |CORP|73,034,355           |20 |511,642,097 |245 |Europe
NABORS INDUSTRIES, INC.|ENERGY|CORP|73,004,615           |31 |416,170,000 |179 |Americas
BANK OF CHINA LIMITED|FINANCIALS|CORP|72,911,538           |7 |454,100,000 |43 |Asia Ex-Japan
SAIPEM FINANCE           INTERNATIONAL B.V.|ENERGY|CORP|72,901,781           |27 |1,194,742,689 |465 |Europe
UNITED STATES STEEL           CORPORATION|BASIC MATERIALS|CORP|71,877,523           |32 |580,413,000 |372 |Americas
LENNAR CORPORATION|CONSUMER GOODS|CORP|70,812,238           |23 |320,420,000 |116 |Americas
THE KROGER CO.|CONSUMER SERVICES|CORP|70,374,238           |14 |314,075,000 |89 |Americas
DEUTSCHE TELEKOM AG|TELECOMMUNICATIONS SERVICES           |CORP|70,138,701           |8 |215,297,377 |45 |Europe
