Reference           EntityFEDERATIVE REPUBLIC OF           BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ) 1,760,779,758|Average Number of Trades/Week 195           |Notional traded in prior 8 Weeks 10,544,193,061|Contracts traded in prior 8 Weeks 1,136           |DC RegionAmericas
CONOCOPHILLIPS|ENERGY|CORP|42,395,200           |10 |304,465,000 |57 |Americas
BASF SE|BASIC MATERIALS|CORP|42,394,621           |8 |230,308,139 |58 |Europe
COOEPERATIEVE RABOBANK           U.A.|FINANCIALS|CORP|41,707,864           |9 |411,205,492 |79 |Europe
ENERGY TRANSFER LP|ENERGY|CORP|41,641,870           |10 |217,650,000 |57 |Americas
AVIS BUDGET GROUP, INC.|CONSUMER SERVICES|CORP|41,595,154           |19 |371,610,000 |179 |Americas
UBS AG|FINANCIALS|CORP|41,493,105           |4 |213,662,620 |25 |Europe
ALSTOM|INDUSTRIALS|CORP|41,179,291           |8 |220,825,869 |72 |Europe
VINCI|INDUSTRIALS|CORP|41,070,839           |6 |253,588,981 |46 |Europe
EDP FINANCE B.V.|UTILITIES|CORP|41,048,726           |6 |113,439,444 |34 |Europe
NATIONAL AUSTRALIA BANK           LIMITED|FINANCIALS|CORP|40,962,863           |7 |81,300,000 |7 |Australia NZ
ABU DHABI|GOVERNMENT|STATE|40,583,077           |13 |267,710,000 |41 |Europe
BEST BUY CO., INC.|CONSUMER SERVICES|CORP|40,555,504           |10 |151,050,000 |47 |Americas
NEXTERA ENERGY CAPITAL           HOLDINGS, INC.|UTILITIES|CORP|40,515,892           |7 |48,890,000 |21 |Americas
THE WALT DISNEY COMPANY|CONSUMER SERVICES|CORP|40,463,662           |6 |153,650,000 |32 |Americas
CATERPILLAR INC.|INDUSTRIALS|CORP|40,225,969           |8 |241,360,000 |62 |Americas
BOSTON SCIENTIFIC           CORPORATION|HEALTHCARE|CORP|40,221,354           |8 |109,120,000 |42 |Americas
NATIONAL RURAL UTILITIES           COOPERATIVE FINANCE CORPORATION           |FINANCIALS|CORP|40,137,123           |7 |39,850,000 |14 |Americas
MUENCHENER           RUECKVERSICHERUNGS-GESELLSCHAFT AKTIENGESELLSCHAFT           IN MUENCHEN           |FINANCIALS|CORP|39,967,431           |8 |269,929,262 |51 |Europe
COMMONWEALTH BANK OF           AUSTRALIA|FINANCIALS|CORP|39,798,650           |7 |58,290,000 |11 |Australia NZ
HEINEKEN N.V.|CONSUMER GOODS|CORP|39,400,826           |6 |179,831,682 |40 |Europe
ORACLE CORPORATION|TECHNOLOGY|CORP|39,186,854           |7 |233,800,000 |48 |Americas
ICELAND BONDCO PLC|CONSUMER SERVICES|CORP|39,042,164           |17 |350,684,029 |145 |Europe
BAE SYSTEMS PLC|INDUSTRIALS|CORP|38,949,899           |5 |80,393,110 |28 |Europe
EQUINOR ASA|ENERGY|CORP|38,927,024           |5 |123,624,104 |26 |Europe
NATIONAL GRID PLC|UTILITIES|CORP|38,309,600           |6 |132,483,286 |27 |Europe
ARAB REPUBLIC OF EGYPT|GOVERNMENT|SOV|38,237,899           |7 |233,400,000 |55 |Europe
BAUSCH HEALTH COMPANIES           INC.|HEALTHCARE|CORP|38,139,231           |16 |267,320,000 |90 |Americas
DELTA AIR LINES, INC.|INDUSTRIALS|CORP|37,956,538           |14 |234,500,000 |101 |Americas
NATWEST MARKETS PLC|FINANCIALS|CORP|37,606,490           |5 |204,950,374 |29 |Europe
THE HARTFORD FINANCIAL           SERVICES GROUP, INC.|FINANCIALS|CORP|37,565,046           |7 |78,650,000 |27 |Americas
QUEST DIAGNOSTICS           INCORPORATED|HEALTHCARE|CORP|37,457,892           |8 |248,070,000 |54 |Americas
BLOCK FINANCIAL LLC|FINANCIALS|CORP|37,243,662           |8 |185,050,000 |59 |Americas
KB HOME|CONSUMER GOODS|CORP|37,208,830           |17 |255,924,000 |119 |Americas
UNITED PARCEL SERVICE,           INC.|INDUSTRIALS|CORP|37,067,294           |7 |155,200,000 |29 |Americas
STENA AKTIEBOLAG|INDUSTRIALS|CORP|36,534,894           |15 |280,850,452 |160 |Europe
HANNOVER RUECK SE|FINANCIALS|CORP|36,485,675           |7 |265,012,530 |54 |Europe
NOKIA OYJ|TECHNOLOGY|CORP|36,239,414           |10 |336,230,104 |67 |Europe
BERKSHIRE HATHAWAY INC.|FINANCIALS|CORP|36,232,465           |7 |110,200,000 |40 |Americas
WEYERHAEUSER COMPANY|BASIC MATERIALS|CORP|35,901,354           |7 |126,150,000 |34 |Americas
CALPINE CORPORATION|UTILITIES|CORP|35,877,192           |11 |233,151,000 |79 |Americas
NORTHROP GRUMMAN           CORPORATION|INDUSTRIALS|CORP|35,706,469           |8 |182,600,000 |41 |Americas
D.R. HORTON, INC.|CONSUMER GOODS|CORP|35,533,277           |8 |187,100,000 |48 |Americas
NAVIENT CORPORATION|FINANCIALS|CORP|35,205,109           |12 |273,392,000 |98 |Americas
LOXAM|INDUSTRIALS|CORP|35,099,000           |16|457,640,863 |186 |Europe
SUEDZUCKER AG|CONSUMER GOODS|CORP|35,059,149           |7 |131,090,967 |43 |Europe
BOUYGUES|INDUSTRIALS|CORP|34,938,562           |6 |126,818,848 |38 |Europe
UNITED RENTALS (NORTH           AMERICA), INC.|INDUSTRIALS|CORP|34,806,731           |11 |248,475,000 |121 |Americas
EXELON CORPORATION|UTILITIES|CORP|34,535,969           |6 |82,050,000 |23 |Americas
MARATHON PETROLEUM           CORPORATION|ENERGY|CORP|34,531,273           |8 |134,460,000 |33 |Americas
MCDONALD'S CORPORATION|CONSUMER SERVICES|CORP|34,077,508           |8 |113,000,000 |30 |Americas
AMERICAN EXPRESS COMPANY|FINANCIALS|CORP|34,063,469           |7 |128,950,000 |40 |Americas
CCO HOLDINGS, LLC|CONSUMER SERVICES|CORP|33,624,615           |8 |129,690,000 |46 |Americas
MONDELEZ INTERNATIONAL,           INC.|CONSUMER GOODS|CORP|33,464,490           |7 |77,276,551 |38 |Americas
TARGET CORPORATION|CONSUMER SERVICES|CORP|33,379,054           |6 |187,500,000 |41 |Americas
LOWE'S COMPANIES, INC.|CONSUMER SERVICES|CORP|32,918,662           |7 |119,700,000 |45 |Americas
SEALED AIR CORPORATION|INDUSTRIALS|CORP|32,698,269           |8 |162,900,000 |59 |Americas
TELEFONAKTIEBOLAGET L M           ERICSSON|TECHNOLOGY|CORP|32,633,371           |7 |223,817,826 |64 |Europe
STAPLES, INC.|CONSUMER SERVICES|CORP|32,569,346           |16 |308,665,000 |134 |Americas
INDUSTRIAL AND COMMERCIAL           BANK OF CHINA LIMITED|FINANCIALS|CORP|32,567,308           |3 |209,400,000 |18 |Asia Ex-Japan
UNION PACIFIC CORPORATION|INDUSTRIALS|CORP|32,314,046           |7 |95,550,000 |26 |Americas
BOPARAN FINANCE PLC|CONSUMER GOODS|CORP|32,279,326           |15 |224,669,757 |107 |Europe
ASTRAZENECA PLC|HEALTHCARE|CORP|32,071,898           |5 |121,380,987 |34 |Europe
CHUBB LIMITED|FINANCIALS|CORP|31,881,354           |6 |81,350,000 |50 |Americas
ZURICH INSURANCE COMPANY           LTD|FINANCIALS|CORP|31,801,567           |7 |411,766,802 |78 |Europe
WPP 2005 LIMITED|CONSUMER SERVICES|CORP|31,792,228           |7 |203,560,661 |50 |Europe
SSE PLC|UTILITIES|CORP|31,751,705           |6 |124,247,193 |35 |Europe
CSX CORPORATION|INDUSTRIALS|CORP|31,712,892           |7 |87,450,000 |28 |Americas
HOCHTIEF           AKTIENGESELLSCHAFT|INDUSTRIALS|CORP|31,636,891           |14 |70,293,416 |20 |Europe
WESTROCK MWV, LLC|INDUSTRIALS|CORP|31,623,260           |9 |261,837,557 |87 |Americas
THE SOUTHERN COMPANY|UTILITIES|CORP|31,326,662           |5 |56,530,000 |21 |Americas
LOEWS CORPORATION|FINANCIALS|CORP|31,212,782           |6 |69,850,000 |20 |Americas
DEERE & COMPANY|INDUSTRIALS|CORP|31,067,815           |7 |104,750,000 |46 |Americas
AKZO NOBEL N.V.|BASIC MATERIALS|CORP|31,046,918           |6 |314,878,206 |67 |Europe
EDP - ENERGIAS DE           PORTUGAL, S.A.|UTILITIES|CORP|31,038,770           |4 |247,134,920 |31 |Europe
STORA ENSO OYJ|BASIC MATERIALS|CORP|31,034,151           |7 |303,235,519 |60 |Europe
THE ALLSTATE CORPORATION|FINANCIALS|CORP|30,998,585           |8 |118,550,000 |54 |Americas
ASSURED GUARANTY MUNICIPAL           CORP.|FINANCIALS|CORP|30,847,085           |8 |122,741,000 |49 |Americas
ADVANCED MICRO DEVICES,           INC.|TECHNOLOGY|CORP|30,738,008           |9 |307,865,000 |98 |Americas
ALIBABA GROUP HOLDING           LIMITED|CONSUMER SERVICES|CORP|30,592,308           |3 |64,400,000 |12 |Asia Ex-Japan
SES|TELECOMMUNICATIONS SERVICES           |CORP|30,588,791           |8 |274,980,960 |89 |Europe
ORANGE|TELECOMMUNICATIONS SERVICES           |CORP|30,557,645           |5 |168,191,094 |38 |Europe
SEMPRA ENERGY|UTILITIES|CORP|30,557,123           |6 |65,850,000 |19 |Americas
CSC HOLDINGS, LLC|CONSUMER SERVICES|CORP|30,290,577           |15 |177,797,000 |65 |Americas
OLIN CORPORATION|BASIC MATERIALS|CORP|30,080,769           |9 |148,200,000 |54 |Americas
OMNICOM GROUP INC.|CONSUMER SERVICES|CORP|29,991,738           |7 |130,800,000 |41 |Americas
HONEYWELL INTERNATIONAL           INC.|INDUSTRIALS|CORP|29,713,546           |6 |94,155,000 |31 |Americas
AKTIEBOLAGET VOLVO|INDUSTRIALS|CORP|29,683,444           |7 |135,655,372 |45 |Europe
LEONARDO SOCIETA' PER           AZIONI|INDUSTRIALS|CORP|29,297,400           |8 |265,824,293 |60 |Europe
CMA CGM|INDUSTRIALS|CORP|29,210,427           |12 |229,505,115 |115 |Europe
ITV PLC|CONSUMER SERVICES|CORP|29,084,148           |7 |242,916,081 |63 |Europe
PICARD BONDCO S.A.|CONSUMER SERVICES|CORP|28,978,973           |11 |205,027,037 |94 |Europe
AIR FRANCE - KLM|INDUSTRIALS|CORP|28,622,088           |11 |347,659,547 |123 |Europe
MURPHY OIL CORPORATION|ENERGY|CORP|28,466,731           |10 |285,375,000 |80 |Americas
FAURECIA|CONSUMER GOODS|CORP|28,267,847           |12 |130,387,172 |58 |Europe
NESTLE S.A.|CONSUMER GOODS|CORP|28,117,096           |5 |157,293,527 |45 |Europe
THE HOME DEPOT, INC.|CONSUMER SERVICES|CORP|28,115,969           |7 |109,750,000 |42 |Americas
E. I. DU PONT DE NEMOURS           AND COMPANY|BASIC MATERIALS|CORP|27,820,508           |7 |158,600,000 |41 |Americas
SODEXO|CONSUMER SERVICES|CORP|27,764,376           |5 |150,586,832 |24 |Europe
JOHNSON CONTROLS           INTERNATIONAL PUBLIC LIMITED COMPANY           |INDUSTRIALS|CORP|27,692,892           |5 |94,150,000 |25 |Americas
ATLANTIA S.P.A.|INDUSTRIALS|CORP|27,500,065           |8 |230,050,974 |85 |Europe
ANA HOLDINGS INC.|INDUSTRIALS|CORP|27,414,914           |8 |129,921,603 |39 |Japan
PIONEER NATURAL RESOURCES           COMPANY|ENERGY|CORP|27,392,585           |5 |89,200,000 |39 |Americas
UNITI GROUP INC.|FINANCIALS|CORP|27,248,500           |10 |219,700,000 |85 |Americas
COX COMMUNICATIONS, INC.|CONSUMER SERVICES|CORP|27,226,012           |7 |156,365,000 |43 |Americas
FIRSTENERGY CORP.|UTILITIES|CORP|27,175,769           |6 |169,450,000 |63 |Americas
UNITED GROUP B.V.|CONSUMER SERVICES|CORP|26,918,245           |9 |453,007,387 |156 |Europe
PEARSON PLC|CONSUMER SERVICES|CORP|26,533,646           |11 |190,010,746 |74 |Europe
BORGWARNER INC.|CONSUMER GOODS|CORP|26,342,431           |7 |154,250,000 |42 |Americas
BERTELSMANN SE & CO.           KGAA|CONSUMER SERVICES|CORP|26,276,154           |5 |197,737,618 |36 |Europe
FORTUM OYJ|UTILITIES|CORP|26,135,850           |6 |287,688,901 |89 |Europe
DANONE|CONSUMER GOODS|CORP|26,110,918           |5 |150,212,979 |39 |Europe
KERING|CONSUMER SERVICES|CORP|26,030,056           |6 |227,759,142 |40 |Europe
CLEVELAND-CLIFFS INC.|BASIC MATERIALS|CORP|25,470,538           |13 |172,825,000 |116 |Americas
CISCO SYSTEMS, INC.|TECHNOLOGY|CORP|25,405,700           |6 |116,685,000 |31 |Americas
NORFOLK SOUTHERN           CORPORATION|INDUSTRIALS|CORP|25,375,585           |6 |84,050,000 |25 |Americas
PERNOD RICARD|CONSUMER GOODS|CORP|25,282,062           |5 |212,188,747 |53 |Europe
GLAXOSMITHKLINE PLC|HEALTHCARE|CORP|25,154,377           |5 |175,708,616 |31 |Europe
CAPITAL ONE BANK (USA),           NATIONAL ASSOCIATION|FINANCIALS|STATBODY|25,075,585           |6 |120,550,000 |37 |Americas
NEWMONT CORPORATION|BASIC MATERIALS|CORP|25,034,046           |6 |107,000,000 |26 |Americas
RADIAN GROUP INC.|FINANCIALS|CORP|24,995,115           |12 |230,550,000 |126 |Americas
STONEGATE PUB COMPANY           FINANCING PLC|CONSUMER SERVICES|CORP|24,628,698           |10 |336,359,400 |114 |Europe
INTERNATIONAL GAME           TECHNOLOGY PLC|CONSUMER SERVICES|CORP|24,424,421           |10 |169,033,495 |79 |Europe
UNIVERSAL HEALTH SERVICES,           INC.|HEALTHCARE|CORP|24,389,429           |7 |98,100,000 |50 |Americas
CLARIANT AG|BASIC MATERIALS|CORP|24,216,215           |6 |197,367,164 |66 |Europe
COMPASS GROUP PLC|CONSUMER SERVICES|CORP|24,136,739           |4 |62,584,115 |25 |Europe
ONEMAIN FINANCE           CORPORATION|FINANCIALS|CORP|24,107,269           |10 |250,518,000 |103 |Americas
ARAMARK SERVICES, INC.|CONSUMER SERVICES|CORP|24,014,423           |6 |176,650,000 |65 |Americas
INEOS GROUP HOLDINGS S.A.|BASIC MATERIALS|CORP|23,923,313           |6 |94,957,514 |42 |Europe
DUKE ENERGY CAROLINAS, LLC|UTILITIES|CORP|23,881,354           |5 |55,850,000 |18 |Americas
LADBROKES CORAL GROUP           LIMITED|CONSUMER SERVICES|CORP|23,648,531           |9 |183,428,160 |72 |Europe
CARLSBERG BREWERIES A/S|CONSUMER GOODS|CORP|23,586,199           |5 |186,125,519 |44 |Europe
INTERNATIONAL LEASE           FINANCE CORPORATION|INDUSTRIALS|CORP|23,471,892           |7 |94,050,000 |29 |Americas
COMPAGNIE DE SAINT-GOBAIN|INDUSTRIALS|CORP|23,354,611           |6 |164,770,586 |57 |Europe
GALP ENERGIA, SGPS, S.A.|ENERGY|CORP|23,339,752           |5 |70,551,714 |25 |Europe
POSCO|BASIC MATERIALS|CORP|23,274,136           |3 |89,728,877 |31 |Asia Ex-Japan
AMKOR TECHNOLOGY, INC.|TECHNOLOGY|CORP|23,031,808           |10 |100,327,000 |75 |Americas
MARSH & MCLENNAN           COMPANIES, INC.|FINANCIALS|CORP|22,993,931           |6 |53,527,000 |17 |Americas
KONINKLIJKE PHILIPS N.V.|CONSUMER GOODS|CORP|22,985,986           |4 |188,776,476 |47 |Europe
HAPAG-LLOYD           AKTIENGESELLSCHAFT|INDUSTRIALS|CORP|22,981,820           |7 |96,017,184 |41 |Europe
LLOYDS BANK PLC|FINANCIALS|CORP|22,484,901           |3 |115,327,968 |22 |Europe
BHP GROUP LIMITED|BASIC MATERIALS|CORP|22,429,857           |3 |20,161,200 |5 |Australia NZ
MGIC INVESTMENT           CORPORATION|FINANCIALS|CORP|22,265,962           |8 |142,400,000 |49 |Americas
KONINKLIJKE DSM N.V.|BASIC MATERIALS|CORP|22,223,030           |4 |144,746,796 |38 |Europe
FEDEX CORPORATION|INDUSTRIALS|CORP|22,070,123           |5 |70,550,000 |15 |Americas
PACKAGING CORPORATION OF           AMERICA|INDUSTRIALS|CORP|21,976,392           |6 |101,750,000 |33 |Americas
ENBW ENERGIE           BADEN-WUERTTEMBERG AG|UTILITIES|CORP|21,882,597           |4 |63,014,613 |19 |Europe
TESLA, INC.|CONSUMER GOODS|CORP|21,354,231           |7 |156,300,000 |50 |Americas
ARDAGH PACKAGING FINANCE           PUBLIC LIMITED COMPANY|INDUSTRIALS|CORP|21,309,834           |8 |271,314,098 |122 |Europe
REALOGY GROUP LLC|FINANCIALS|CORP|21,186,890           |8 |200,759,134 |77 |Americas
SOCIALIST REPUBLIC OF           VIETNAM|GOVERNMENT|SOV|21,150,115           |4 |127,343,000 |20 |Asia Ex-Japan
ERP OPERATING LIMITED           PARTNERSHIP|FINANCIALS|CORP|20,908,277           |5 |58,850,000 |24 |Americas
ISTAR INC.|FINANCIALS|CORP|20,793,654           |7 |102,612,000 |27 |Americas
MATTERHORN TELECOM HOLDING           S.A.|TELECOMMUNICATIONS SERVICES           |CORP|20,658,326           |7 |218,469,724 |79 |Europe
COMPAGNIE FINANCIERE           MICHELIN SA|CONSUMER GOODS|CORP|20,472,501           |5 |96,140,249 |35 |Europe
SANOFI|HEALTHCARE|CORP|20,204,311           |4 |94,928,059 |35 |Europe
MITSUI O.S.K. LINES, LTD.|INDUSTRIALS|CORP|19,973,205           |5 |145,808,907 |32 |Japan
MERITOR, INC.|CONSUMER GOODS|CORP|19,673,077           |7 |79,400,000 |42 |Americas
UNITED KINGDOM OF GREAT           BRITAIN AND NORTHERN IRELAND|GOVERNMENT|SOV|19,603,846           |1 |52,900,000 |6 |Europe
KOBE STEEL, LTD.|BASIC MATERIALS|CORP|19,505,557           |8 |162,174,060 |72 |Japan
TELEKOM AUSTRIA           AKTIENGESELLSCHAFT|TELECOMMUNICATIONS SERVICES           |CORP|19,318,698           |5 |81,050,185 |31 |Europe
PREMIER FOODS FINANCE PLC|CONSUMER GOODS|CORP|19,185,155           |6 |90,329,283 |38 |Europe
RAKUTEN GROUP, INC.|CONSUMER SERVICES|CORP|19,022,176           |4 |83,868,150 |16 |Japan
ING BANK N.V.|FINANCIALS|CORP|18,916,175           |4 |108,757,219 |33 |Europe
LOUIS DREYFUS COMPANY B.V.|CONSUMER GOODS|CORP|18,912,830           |6 |124,311,484 |32 |Europe
REYNOLDS AMERICAN INC.|CONSUMER GOODS|CORP|18,533,238           |5 |90,487,000 |27 |Americas
STANDARD CHARTERED BANK|FINANCIALS|STATBODY|18,088,404           |2 |69,446,016 |29 |Europe
NETFLIX, INC.|CONSUMER SERVICES|CORP|18,056,462           |6 |279,990,000 |113 |Americas
REXEL|CONSUMER SERVICES|CORP|17,957,034           |7 |95,681,475 |46 |Europe
TRANSDIGM INC.|INDUSTRIALS|CORP|17,905,962           |10 |100,450,000 |60 |Americas
WENDEL|FINANCIALS|CORP|17,875,356           |6 |129,651,067 |59 |Europe
HOWMET AEROSPACE INC.|INDUSTRIALS|CORP|17,783,462           |5 |126,400,000 |40 |Americas
L'AIR LIQUIDE SOCIETE           ANONYME POUR L'ETUDE ET L'EXPLOITATION DES           PROCEDES GEORGES CLAUDE           |BASIC MATERIALS|CORP|17,543,332           |3 |87,258,409 |20 |Europe
GKN HOLDINGS LIMITED|CONSUMER GOODS|CORP|17,531,119           |4 |134,407,712 |31 |Europe
STATE OF ISRAEL|GOVERNMENT|SOV|17,455,769           |2 |193,100,000 |22 |Europe
TELENOR ASA|TELECOMMUNICATIONS SERVICES           |CORP|17,344,859           |3 |65,076,468 |25 |Europe
PACTIV LLC|INDUSTRIALS|CORP|16,952,962           |7 |114,300,000 |29 |Americas
SKY LIMITED|CONSUMER SERVICES|CORP|16,842,685           |4 |48,649,597 |24 |Europe
SMURFIT KAPPA ACQUISITIONS           UNLIMITED COMPANY|INDUSTRIALS|CORP|16,828,284           |5 |130,789,619 |43 |Europe
GENWORTH HOLDINGS, INC.|FINANCIALS|CORP|16,781,825           |6 |109,700,000 |33 |Americas
WIND ACQUISITION FINANCE           S.A.|TELECOMMUNICATIONS SERVICES           |CORP|16,781,117           |1 |2,379,064 |2 |Europe
STMICROELECTRONICS N.V.|TECHNOLOGY|CORP|16,740,682           |4 |64,396,736 |28 |Europe
HENKEL AG & CO. KGAA|CONSUMER GOODS|CORP|16,637,022           |4 |130,874,586 |37 |Europe
ELIS|INDUSTRIALS|CORP|16,585,567           |6 |167,245,492 |66 |Europe
DIAGEO PLC|CONSUMER GOODS|CORP|16,506,498           |3 |209,060,185 |35 |Europe
TRANSCANADA PIPELINES           LIMITED|UTILITIES|CORP|16,414,546           |4 |94,920,000 |24 |Americas
NISSAN MOTOR CO., LTD.|CONSUMER GOODS|CORP|16,157,488           |4 |45,801,570 |10 |Japan
TENCENT HOLDINGS LIMITED|TECHNOLOGY|CORP|16,130,269           |2 |114,700,000 |13 |Asia Ex-Japan
MONITCHEM HOLDCO 3 S.A.|BASIC MATERIALS|CORP|16,046,418           |5 |114,556,483 |42 |Europe
GAZPROM PUBLIC JOINT STOCK           COMPANY|ENERGY|CORP|15,864,741           |3 |388,523,262 |50 |Europe
KINGDOM OF BAHRAIN|GOVERNMENT|SOV|15,657,091           |4 |47,750,000 |16 |Europe
PORTUGUESE REPUBLIC|GOVERNMENT|SOV|15,588,462           |2 |220,700,000 |18 |Europe
BOYD GAMING CORPORATION|CONSUMER SERVICES|CORP|15,580,962           |11 |93,200,000 |63 |Americas
MBIA INC.|FINANCIALS|CORP|15,533,154           |7 |163,812,000 |66 |Americas
JFE HOLDINGS, INC.|BASIC MATERIALS|CORP|15,274,464           |4 |177,557,130 |34 |Japan
NOVA CHEMICALS CORPORATION|BASIC MATERIALS|CORP|15,082,154           |5 |109,500,000 |34 |Americas
BALL CORPORATION|INDUSTRIALS|CORP|15,030,393           |4 |28,370,214 |15 |Americas
J SAINSBURY PLC|CONSUMER SERVICES|CORP|14,975,882           |5 |24,640,307 |14 |Europe
MODULAIRE GLOBAL FINANCE           PLC|FINANCIALS|CORP|14,668,804           |6 |58,472,866 |27 |Europe
SYNGENTA AG|BASIC MATERIALS|CORP|14,623,273           |4 |171,756,596 |45 |Europe
TELIA COMPANY AB|TELECOMMUNICATIONS SERVICES           |CORP|14,492,248           |3 |61,085,305 |18 |Europe
UNILEVER FINANCE           NETHERLANDS B.V.|CONSUMER GOODS|CORP|14,491,507           |4 |228,880,701 |63 |Europe
SPRINT COMMUNICATIONS,           INC.|TELECOMMUNICATIONS SERVICES           |CORP|14,386,526           |4 |62,144,667 |27 |Americas
AVIENT CORPORATION|BASIC MATERIALS|CORP|14,289,038           |5 |97,620,000 |37 |Americas
NIPPON YUSEN KABUSHIKI           KAISHA|INDUSTRIALS|CORP|14,251,151           |4 |96,296,280 |17 |Japan
CECONOMY AG|CONSUMER SERVICES|CORP|14,221,118           |4 |67,521,829 |26 |Europe
SAFEWAY INC.|CONSUMER SERVICES|CORP|14,209,615           |3 |64,000,000 |28 |Americas
KONINKLIJKE AHOLD DELHAIZE           N.V.|CONSUMER SERVICES|CORP|14,165,149           |4 |111,694,797 |40 |Europe
SULTANATE OF OMAN|GOVERNMENT|SOV|14,090,769           |3 |30,460,000 |12 |Europe
NIPPON PAPER INDUSTRIES           CO.,LTD.|BASIC MATERIALS|CORP|14,028,862           |3 |25,290,810 |4 |Japan
K+S AKTIENGESELLSCHAFT|BASIC MATERIALS|CORP|13,953,611           |4 |123,441,336 |39 |Europe
FIRST-CITIZENS BANK &           TRUST COMPANY|FINANCIALS|CORP|13,728,615           |3 |41,361,000 |17 |Americas
GRIFOLS, S.A.|HEALTHCARE|CORP|13,639,440           |6 |125,924,490 |63 |Europe
NOVAFIVES|INDUSTRIALS|CORP|13,156,944           |7 |107,810,125 |55 |Europe
EQT CORPORATION|ENERGY|CORP|13,076,923           |2 ||   |Americas
ROMANIA|GOVERNMENT|SOV|12,994,460           |2 |165,354,412 |24 |Europe
AVON PRODUCTS, INC.|CONSUMER GOODS|CORP|12,899,115           |6 |120,812,000 |55 |Americas
UNITED UTILITIES PLC|UTILITIES|CORP|12,778,058           |3 |80,540,385 |24 |Europe
AKTIEBOLAGET ELECTROLUX|CONSUMER GOODS|CORP|12,727,122           |2 |101,529,396 |17 |Europe
TEGNA INC.|CONSUMER SERVICES|CORP|12,698,077           |6 |102,950,000 |43 |Americas
FISERV, INC.|TECHNOLOGY|CORP|12,555,123           |3 |51,000,000 |13 |Americas
LIBERTY INTERACTIVE LLC|CONSUMER SERVICES|CORP|12,319,231           |6 |71,500,000 |39 |Americas
BERRY GLOBAL, INC.|INDUSTRIALS|CORP|12,307,692           |1 ||   |Americas
OI EUROPEAN GROUP B.V.|INDUSTRIALS|CORP|12,191,687           |6 |156,788,453 |65 |Europe
K. HOVNANIAN ENTERPRISES,           INC.|CONSUMER GOODS|CORP|12,165,038           |8 |62,584,000 |44 |Americas
DEUTSCHE POST AG|INDUSTRIALS|CORP|12,026,039           |1 |9,063,102 |3 |Europe
TOYOTA MOTOR CORPORATION|CONSUMER GOODS|CORP|11,868,346           |2 |69,759,185 |10 |Japan
LAMB WESTON HOLDINGS, INC.|CONSUMER GOODS|CORP|11,857,692           |5 |67,000,000 |30 |Americas
VATTENFALL AB|UTILITIES|CORP|11,851,748           |1 |35,799,251 |7 |Europe
NIPPON STEEL CORPORATION|BASIC MATERIALS|CORP|11,851,191           |3 |23,552,610 |4 |Japan
FEDERAL REPUBLIC OF           GERMANY|GOVERNMENT|SOV|11,527,777           |1 |68,322,193 |3 |Europe
UNILEVER PLC|CONSUMER GOODS|CORP|11,516,675           |2 |51,161,209 |18 |Europe
HEATHROW FUNDING LIMITED|INDUSTRIALS|CORP|11,268,747           |2 |18,805,936 |2 |Europe
RELIANCE INDUSTRIES           LIMITED|ENERGY|CORP|11,232,692           |1 |144,250,000 |12 |Asia Ex-Japan
SCHAEFFLER AG|CONSUMER GOODS|CORP|11,127,417           |4 |107,113,922 |37 |Europe
AMERICA MOVIL SOCIEDAD           ANONIMA BURSATIL DE CAPITAL VARIABLE           |TELECOMMUNICATIONS SERVICES           |CORP|11,023,937           |1 |40,000,000 |3 |Americas
POSTNL N.V.|INDUSTRIALS|CORP|10,936,201           |4 |65,580,603 |35 |Europe
SUNRISE COMMUNICATIONS           HOLDINGS S.A.|TELECOMMUNICATIONS SERVICES           |CORP|10,626,901           |2 |35,232,807 |14 |Europe
TATE & LYLE PUBLIC           LIMITED COMPANY|CONSUMER GOODS|CORP|10,615,158           |2 |66,523,166 |20 |Europe
BROADCOM INC.|TECHNOLOGY|CORP|10,466,731           |2 |270,320,000 |50 |Americas
RENTOKIL INITIAL PLC|INDUSTRIALS|CORP|10,416,031           |2 |49,280,615 |15 |Europe
EXPERIAN FINANCE PLC|INDUSTRIALS|CORP|10,206,667           |2 |162,393,846 |30 |Europe
CHINA DEVELOPMENT BANK|GOVERNMENT|CORP|10,176,923           |2 |104,300,000 |17 |Asia Ex-Japan
IRON MOUNTAIN INCORPORATED|INDUSTRIALS|CORP|10,087,600           |7 |71,746,432 |47 |Americas
THE EXPORT-IMPORT BANK OF           KOREA|GOVERNMENT|STATBODY|10,030,769           |1 |93,500,000 |6 |Asia Ex-Japan
TAKEDA PHARMACEUTICAL           COMPANY LIMITED|HEALTHCARE|CORP|9,967,005           |2 |45,714,660 |7 |Japan
VISTRA OPERATIONS COMPANY           LLC|UTILITIES|CORP|9,884,615           |3 |29,500,000 |12 |Americas
RELX PLC|CONSUMER SERVICES|CORP|9,877,232           |2 |104,106,069 |12 |Europe
TARGA RESOURCES PARTNERS           LP|ENERGY|CORP|9,867,692           |6 |60,200,000 |22 |Americas
KAWASAKI KISEN KAISHA,           LTD.|INDUSTRIALS|CORP|9,710,765           |4 |41,803,710 |13 |Japan
UNILABS SUBHOLDING AB           (PUBL)|HEALTHCARE|CORP|9,707,954           |3 |61,814,884 |23 |Europe
