Reference EntityAIR PRODUCTS AND CHEMICALS, INC.|SectorBASIC MATERIALS|Market TypeCORP|Average Weekly Notional (USD EQ)                                          161,538 |Average Number of Trades/Week                                                  1 |Notional traded in prior 8 Weeks                                               -    |Contracts traded in prior 8 Weeks                                                 -    |DC Region  Americas  
OFFICE DEPOT, INC.|CONSUMER SERVICES|CORP|                                           26,923 |                                                 1 |                                      700,000 |                                                  1 |  Americas  
OMNICOM GROUP INC.|CONSUMER SERVICES|CORP|                                    22,866,949 |                                                 6 |                               102,310,000 |                                                46 |  Americas  
PEARSON PLC|CONSUMER SERVICES|CORP|                                    25,316,534 |                                                 7 |                               211,349,121 |                                                52 |  Europe  
PICARD BONDCO S.A.|CONSUMER SERVICES|CORP|                                      7,197,403 |                                                 4 |                                 71,498,317 |                                                35 |  Europe  
PIZZAEXPRESS FINANCING 1 PLC|CONSUMER SERVICES|CORP|                                    12,021,276 |                                                 9 |                                 85,240,315 |                                                70 |  Europe  
PUBLICIS GROUPE SA|CONSUMER SERVICES|CORP|                                    39,101,451 |                                                 7 |                               236,649,665 |                                                58 |  Europe  
RELX PLC|CONSUMER SERVICES|CORP|                                    18,048,038 |                                                 3 |                               202,133,879 |                                                44 |  Europe  
REXEL|CONSUMER SERVICES|CORP|                                    16,831,020 |                                                 6 |                                 66,415,318 |                                                46 |  Europe  
RITE AID CORPORATION|CONSUMER SERVICES|CORP|                                    56,886,327 |                                               27 |                               602,378,000 |                                              251 |  Americas  
ROYAL CARIBBEAN CRUISES LTD.|CONSUMER SERVICES|CORP|                                    41,055,577 |                                               10 |                               339,400,000 |                                                98 |  Americas  
SABRE HOLDINGS CORPORATION|CONSUMER SERVICES|CORP|                                      8,084,615 |                                                 6 |                                 98,750,000 |                                                56 |  Americas  
SAFEWAY INC.|CONSUMER SERVICES|CORP|                                    37,150,575 |                                               11 |                               157,200,000 |                                                82 |  Americas  
SAFEWAY LIMITED|CONSUMER SERVICES|CORP|                                      5,033,341 |                                                 2 |                                 14,885,537 |                                                10 |  Europe  
SELECTA GROUP B.V.|CONSUMER SERVICES|CORP|                                    18,484,865 |                                                 4 |                                 66,399,044 |                                                23 |  Europe  
SKY LIMITED|CONSUMER SERVICES|CORP|                                    13,127,498 |                                                 2 |                                 66,474,991 |                                                16 |  Europe  
SODEXO|CONSUMER SERVICES|CORP|                                      5,629,647 |                                                 2 |                                 27,460,128 |                                                19 |  Europe  
STAPLES, INC.|CONSUMER SERVICES|CORP|                                    81,785,318 |                                               29 |                               484,830,000 |                                              152 |  Americas  
STONEGATE PUB COMPANY FINANCING PLC|CONSUMER SERVICES|CORP|                                      9,747,874 |                                                 2 |                                 35,043,940 |                                                26 |  Europe  
SUPERVALU INC.|CONSUMER SERVICES|CORP|                                    13,020,182 |                                                 6 |                                 44,280,000 |                                                30 |  Americas  
TARGET CORPORATION|CONSUMER SERVICES|CORP|                                    46,282,500 |                                                 9 |                               105,478,000 |                                                31 |  Americas  
TEGNA INC.|CONSUMER SERVICES|CORP|                                    22,614,154 |                                                 8 |                               143,475,000 |                                                60 |  Americas  
TESCO PLC|CONSUMER SERVICES|CORP|                                  168,633,567 |                                               27 |                               670,118,128 |                                              161 |  Europe  
THE GAP, INC.|CONSUMER SERVICES|CORP|                                    46,593,998 |                                               12 |                               530,646,000 |                                              131 |  Americas  
THE HERTZ CORPORATION|CONSUMER SERVICES|CORP|                                    84,925,066 |                                               33 |                               542,420,000 |                                              218 |  Americas  
THE HOME DEPOT, INC.|CONSUMER SERVICES|CORP|                                    16,260,829 |                                                 5 |                                 78,560,000 |                                                19 |  Americas  
THE INTERPUBLIC GROUP OF COMPANIES, INC.|CONSUMER SERVICES|CORP|                                         355,154 |                                                 1 |                                              -    |                                                -    |  Americas  
THE KROGER CO.|CONSUMER SERVICES|CORP|                                    63,843,658 |                                               11 |                               278,978,000 |                                                49 |  Americas  
THE MCCLATCHY COMPANY|CONSUMER SERVICES|CORP|                                    33,329,231 |                                               21 |                               319,910,000 |                                              189 |  Americas  
THE NEIMAN MARCUS GROUP LLC|CONSUMER SERVICES|CORP|                                    21,117,527 |                                               17 |                               141,436,000 |                                              113 |  Americas  
THE NEW YORK TIMES COMPANY|CONSUMER SERVICES|CORP|                                         442,308 |                                                 1 |                                              -    |                                                -    |  Americas  
THE SERVICEMASTER COMPANY, LLC|CONSUMER SERVICES|CORP|                                         115,385 |                                                 1 |                                              -    |                                                -    |  Americas  
THE WALT DISNEY COMPANY|CONSUMER SERVICES|CORP|                                    17,520,385 |                                                 5 |                                 41,160,000 |                                                16 |  Americas  
THOMAS COOK GROUP PLC|CONSUMER SERVICES|CORP|                                    33,202,026 |                                                 8 |                                              -    |                                                -    |  Europe  
TIME WARNER CABLE, LLC|CONSUMER SERVICES|CORP|                                      4,276,923 |                                                 1 |                                 43,500,000 |                                                  8 |  Americas  
TUI AG|CONSUMER SERVICES|CORP|                                    56,340,884 |                                               18 |                               603,016,948 |                                              169 |  Europe  
TWDC ENTERPRISES 18 CORP.|CONSUMER SERVICES|CORP|                                    14,533,846 |                                                 2 |                                 96,100,000 |                                                  8 |  Americas  
UNITED GROUP B.V.|CONSUMER SERVICES|CORP|                                      9,589,682 |                                                 3 |                               110,437,402 |                                                41 |  Europe  
UNITYMEDIA GMBH|CONSUMER SERVICES|CORP|                                    16,631,266 |                                                 4 |                                 34,127,143 |                                                12 |  Europe  
UNIVISION COMMUNICATIONS INC.|CONSUMER SERVICES|CORP|                                    16,311,538 |                                                 8 |                               180,750,000 |                                              105 |  Americas  
UPC HOLDING B.V.|TELECOMMUNICATIONS SERVICES|CORP|                                    35,014,528 |                                               12 |                               284,815,541 |                                                85 |  Europe  
VUE INTERNATIONAL BIDCO PLC|CONSUMER SERVICES|CORP|                                      7,721,518 |                                                 3 |                                 69,870,889 |                                                30 |  Europe  
WALMART INC.|CONSUMER SERVICES|CORP|                                    16,940,947 |                                                 4 |                                 57,060,000 |                                                17 |  Americas  
WENDY'S INTERNATIONAL, LLC|CONSUMER SERVICES|CORP|                                      3,244,654 |                                                 1 |                                 35,000,000 |                                                  4 |  Americas  
WESFARMERS LIMITED|CONSUMER SERVICES|CORP|                                      1,676,923 |                                                 1 |                                   1,450,000 |                                                  3 |  Australia NZ  
WOLTERS KLUWER N.V.|CONSUMER SERVICES|CORP|                                      9,659,408 |                                                 2 |                                 91,873,710 |                                                34 |  Europe  
WOOLWORTHS GROUP LIMITED|CONSUMER SERVICES|CORP|                                      1,428,846 |                                                 1 |                                   1,050,000 |                                                  3 |  Australia NZ  
WPP 2005 LIMITED|CONSUMER SERVICES|CORP|                                    34,976,743 |                                               10 |                               110,273,081 |                                                47 |  Europe  
YUM! BRANDS, INC.|CONSUMER SERVICES|CORP|                                    41,955,923 |                                               11 |                               142,300,000 |                                                67 |  Americas  
ZIGGO BOND COMPANY B.V.|CONSUMER SERVICES|CORP|                                    18,111,063 |                                                 6 |                               205,799,796 |                                                62 |  Europe  
APACHE CORPORATION|ENERGY|CORP|                                    91,687,697 |                                               28 |                               546,215,186 |                                              364 |  Americas  
BP P.L.C.|ENERGY|CORP|                                    91,641,400 |                                               12 |                               386,376,486 |                                                81 |  Europe  
CALIFORNIA RESOURCES CORPORATION|ENERGY|CORP|                                    13,854,121 |                                               11 |                               106,957,150 |                                              115 |  Americas  
CANADIAN NATURAL RESOURCES LIMITED|ENERGY|CORP|                                    41,826,154 |                                                 8 |                               309,080,000 |                                                46 |  Americas  
CHESAPEAKE ENERGY CORPORATION|ENERGY|CORP|                                  118,264,526 |                                               53 |                               643,325,000 |                                              318 |  Americas  
CHEVRON CORPORATION|ENERGY|CORP|                                      4,182,308 |                                                 1 |                                 52,000,000 |                                                  8 |  Americas  
CHINA PETROCHEMICAL CORPORATION|ENERGY|CORP|                                    25,278,846 |                                                 6 |                                 38,000,000 |                                                  5 |  Asia Ex-Japan  
CHINA PETROLEUM & CHEMICAL CORPORATION|ENERGY|CORP|                                         192,308 |                                                 1 |                                   5,000,000 |                                                  1 |  Asia Ex-Japan  
CNOOC LIMITED|ENERGY|CORP|                                    28,894,231 |                                                 8 |                               209,500,000 |                                                27 |  Asia Ex-Japan  
CONOCOPHILLIPS|ENERGY|CORP|                                    24,672,615 |                                                 7 |                               146,060,000 |                                                57 |  Americas  
DEVON ENERGY CORPORATION|ENERGY|CORP|                                    78,060,644 |                                               31 |                               494,328,000 |                                              349 |  Americas  
DIAMOND OFFSHORE DRILLING, INC.|ENERGY|CORP|                                    54,286,659 |                                               23 |                               513,899,070 |                                              213 |  Americas  
ENBRIDGE INC.|ENERGY|CORP|                                    54,125,558 |                                               10 |                               238,200,000 |                                                61 |  Americas  
ENCANA CORPORATION|ENERGY|CORP|                                    69,539,673 |                                               16 |                               667,100,000 |                                              148 |  Americas  
ENERGY TRANSFER OPERATING, L.P.|ENERGY|CORP|                                    17,807,385 |                                                 5 |                                 92,360,000 |                                                30 |  Americas  
ENI S.P.A.|ENERGY|CORP|                                    42,925,639 |                                                 7 |                               243,111,936 |                                                48 |  Europe  
ENSCO INTERNATIONAL INCORPORATED|ENERGY|CORP|                                         192,308 |                                                 1 |                                              -    |                                                -    |  Americas  
ENTERPRISE PRODUCTS OPERATING LLC|ENERGY|CORP|                                      4,153,846 |                                                 1 |                                 18,000,000 |                                                  2 |  Americas  
EQUINOR ASA|ENERGY|CORP|                                    27,528,146 |                                                 5 |                               138,678,526 |                                                32 |  Europe  
EXXON MOBIL CORPORATION|ENERGY|CORP|                                         384,615 |                                                 1 |                                              -    |                                                -    |  Americas  
GALP ENERGIA, SGPS, S.A.|ENERGY|CORP|                                    14,121,064 |                                                 4 |                               119,507,430 |                                                41 |  Europe  
GAZPROM PUBLIC JOINT STOCK COMPANY|ENERGY|CORP|                                    32,850,000 |                                                 7 |                               227,050,000 |                                                39 |  Europe  
GS CALTEX CORPORATION|ENERGY|CORP|                                    23,213,462 |                                                 3 |                                 20,300,000 |                                                  6 |  Asia Ex-Japan  
HALLIBURTON COMPANY|ENERGY|CORP|                                    40,169,493 |                                               19 |                               281,661,650 |                                              302 |  Americas  
HESS CORPORATION|ENERGY|CORP|                                    63,675,885 |                                               25 |                               391,409,000 |                                              298 |  Americas  
HUSKY ENERGY INC.|ENERGY|CORP|                                         384,615 |                                                 1 |                                              -    |                                                -    |  Americas  
KINDER MORGAN ENERGY PARTNERS, L.P.|ENERGY|CORP|                                      2,853,846 |                                                 1 |                                 39,500,000 |                                                  3 |  Americas  
KINDER MORGAN, INC.|ENERGY|CORP|                                    53,147,692 |                                               11 |                               270,330,000 |                                                71 |  Americas  
MARATHON OIL CORPORATION|ENERGY|CORP|                                      4,011,038 |                                                 1 |                                 20,700,000 |                                                  6 |  Americas  
MARATHON PETROLEUM CORPORATION|ENERGY|CORP|                                    24,063,827 |                                                 4 |                                 60,160,000 |                                                12 |  Americas  
MARUBENI CORPORATION|ENERGY|CORP|                                    42,872,183 |                                                 6 |                                 93,378,830 |                                                20 |  Japan  
MITSUI & CO., LTD.|ENERGY|CORP|                                    23,502,683 |                                                 6 |                                 88,775,245 |                                                32 |  Japan  
MURPHY OIL CORPORATION|ENERGY|CORP|                                    14,236,192 |                                                 7 |                               129,700,000 |                                                76 |  Americas  
NABORS INDUSTRIES, INC.|ENERGY|CORP|                                    89,034,346 |                                               40 |                               761,572,000 |                                              358 |  Americas  
NOBLE CORPORATION|ENERGY|CORP|                                    15,031,077 |                                               11 |                               125,795,000 |                                                76 |  Americas  
OCCIDENTAL PETROLEUM CORPORATION|ENERGY|CORP|                                    58,427,846 |                                               15 |                               629,127,000 |                                              168 |  Americas  
ONEOK PARTNERS, L.P.|ENERGY|CORP|                                         576,923 |                                                 1 |                                              -    |                                                -    |  Americas  
ONEOK, INC.|ENERGY|CORP|                                         769,231 |                                                 1 |                                              -    |                                                -    |  Americas  
ORANO|BASIC MATERIALS|CORP|                                      4,009,314 |                                                 2 |                                 17,250,732 |                                                  7 |  Europe  
PETROLEO BRASILEIRO S/A PETROBRAS|ENERGY|CORP|                                  114,831,856 |                                               18 |                               415,220,000 |                                                94 |  Americas  
PETROLIAM NASIONAL BERHAD (PETRONAS)|ENERGY|CORP|                                    19,214,423 |                                                 3 |                               122,125,000 |                                                17 |  Asia Ex-Japan  
PIONEER NATURAL RESOURCES COMPANY|ENERGY|CORP|                                      2,211,538 |                                                 1 |                                 17,000,000 |                                                  6 |  Americas  
PLAINS ALL AMERICAN PIPELINE, L.P.|ENERGY|CORP|                                           50,000 |                                                 1 |                                              -    |                                                -    |  Americas  
"PUBLIC JOINT STOCK COMPANY ""OIL COMPANY ""LUKOIL"""|ENERGY|CORP|                                         107,692 |                                                 1 |                                              -    |                                                -    |  Europe  
REPSOL, S.A.|ENERGY|CORP|                                    50,035,522 |                                                 8 |                               239,559,153 |                                                66 |  Europe  
ROYAL DUTCH SHELL PLC|ENERGY|CORP|                                    64,437,232 |                                                 9 |                               724,677,201 |                                                72 |  Europe  
SAIPEM FINANCE INTERNATIONAL B.V.|ENERGY|CORP|                                      9,885,579 |                                                 3 |                                 58,153,411 |                                                22 |  Europe  
SASOL LTD|ENERGY|CORP|                                      6,649,231 |                                                 1 |                                 43,000,000 |                                                  3 |  Europe  
SCHLUMBERGER N.V.|ENERGY|CORP|                                         709,391 |                                                 1 |                                              -    |                                                -    |  Americas  
TARGA RESOURCES PARTNERS LP|ENERGY|CORP|                                    12,234,404 |                                                 6 |                               103,110,000 |                                                59 |  Americas  
TECHNIPFMC PLC|ENERGY|CORP|                                      3,596,615 |                                                 1 |                                   6,390,366 |                                                  4 |  Europe  
TECK RESOURCES LIMITED|ENERGY|CORP|                                    44,993,769 |                                               12 |                               314,387,000 |                                              106 |  Americas  
THE WILLIAMS COMPANIES, INC.|ENERGY|CORP|                                    39,058,154 |                                               10 |                               393,772,000 |                                                85 |  Americas  
TOTAL SA|ENERGY|CORP|                                    54,635,747 |                                                 7 |                               354,531,837 |                                                70 |  Europe  
TRANSCANADA PIPELINES LIMITED|UTILITIES|CORP|                                      1,269,231 |                                                 1 |                                 10,000,000 |                                                  1 |  Americas  
TRANSOCEAN INC.|ENERGY|CORP|                                    82,591,868 |                                               49 |                               993,025,275 |                                              593 |  Americas  
VALERO ENERGY CORPORATION|ENERGY|CORP|                                    45,280,462 |                                               10 |                               232,185,000 |                                                64 |  Americas  
VISTRA ENERGY CORP.|ENERGY|CORP|                                    11,998,077 |                                                 6 |                                 81,350,000 |                                                47 |  Americas  
WHITING PETROLEUM CORPORATION|ENERGY|CORP|                                    39,608,615 |                                               29 |                               256,344,000 |                                              245 |  Americas  
WOODSIDE PETROLEUM LTD.|ENERGY|CORP|                                      2,076,923 |                                                 1 |                                   2,000,000 |                                                  1 |  Australia NZ  
ACOM CO., LTD.|FINANCIALS|CORP|                                      7,275,741 |                                                 2 |                                 11,201,875 |                                                  3 |  Japan  
