Reference EntityAIR PRODUCTS AND CHEMICALS, INC.|SectorBASIC MATERIALS|Market TypeCORP|Average Weekly Notional (USD EQ)                                          161,538 |Average Number of Trades/Week                                                  1 |Notional traded in prior 8 Weeks                                               -    |Contracts traded in prior 8 Weeks                                                 -    |DC Region  Americas  
RIO TINTO LIMITED|BASIC MATERIALS|CORP|                                    46,559,000 |                                                 7 |                               245,650,000 |                                                71 |  Australia NZ  
RPM INTERNATIONAL INC.|BASIC MATERIALS|CORP|                                         716,923 |                                                 1 |                                 13,640,000 |                                                  5 |  Americas  
SOLVAY|BASIC MATERIALS|CORP|                                    26,958,239 |                                                 7 |                               181,112,371 |                                                52 |  Europe  
STORA ENSO OYJ|BASIC MATERIALS|CORP|                                    19,100,070 |                                                 6 |                               137,724,841 |                                                53 |  Europe  
SUMITOMO CHEMICAL COMPANY, LIMITED|BASIC MATERIALS|CORP|                                    10,503,108 |                                                 2 |                                 24,442,312 |                                                  9 |  Japan  
SYNGENTA AG|BASIC MATERIALS|CORP|                                    10,278,248 |                                                 3 |                                 45,524,573 |                                                18 |  Europe  
THE DOW CHEMICAL COMPANY|BASIC MATERIALS|CORP|                                    45,699,269 |                                                 9 |                               372,250,000 |                                                62 |  Americas  
THYSSENKRUPP AG|BASIC MATERIALS|CORP|                                  125,017,206 |                                               29 |                               964,800,901 |                                              239 |  Europe  
UNITED STATES STEEL CORPORATION|BASIC MATERIALS|CORP|                                  149,799,308 |                                               66 |                               982,892,000 |                                              461 |  Americas  
UPM-KYMMENE OYJ|BASIC MATERIALS|CORP|                                      5,866,981 |                                                 2 |                                 22,566,995 |                                                10 |  Europe  
VALE SA|BASIC MATERIALS|CORP|                                      3,697,500 |                                                 1 |                                 31,000,000 |                                                  7 |  Americas  
WEYERHAEUSER COMPANY|BASIC MATERIALS|CORP|                                    15,350,769 |                                                 5 |                                 86,945,000 |                                                37 |  Americas  
XSTRATA LIMITED|BASIC MATERIALS|CORP|                                      1,713,806 |                                                 1 |                                 19,171,097 |                                                  7 |  Europe  
AGC INC.|CONSUMER GOODS|CORP|                                         172,337 |                                                 1 |                                              -    |                                                -    |  Japan  
AKTIEBOLAGET ELECTROLUX|CONSUMER GOODS|CORP|                                    16,592,667 |                                                 4 |                                 81,002,494 |                                                18 |  Europe  
ALTRIA GROUP, INC.|CONSUMER GOODS|CORP|                                    57,114,254 |                                               12 |                               229,062,000 |                                                52 |  Americas  
AMERICAN AXLE & MANUFACTURING, INC.|CONSUMER GOODS|CORP|                                    91,973,442 |                                               32 |                               654,596,000 |                                              240 |  Americas  
ANHEUSER-BUSCH INBEV|CONSUMER GOODS|CORP|                                    86,267,409 |                                               14 |                               457,412,451 |                                                91 |  Europe  
ARCHER-DANIELS-MIDLAND COMPANY|CONSUMER GOODS|CORP|                                         384,615 |                                                 1 |                                              -    |                                                -    |  Americas  
AVNET, INC.|CONSUMER SERVICES|CORP|                                    29,971,731 |                                                 8 |                               178,088,000 |                                                52 |  Americas  
AVON PRODUCTS, INC.|CONSUMER GOODS|CORP|                                    31,124,769 |                                               13 |                               136,350,000 |                                                66 |  Americas  
BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT|CONSUMER GOODS|CORP|                                  157,133,904 |                                               29 |                               885,178,757 |                                              129 |  Europe  
BEAM SUNTORY INC.|CONSUMER GOODS|CORP|                                      2,609,182 |                                                 1 |                                 30,138,728 |                                                  6 |  Americas  
BEAZER HOMES USA, INC.|CONSUMER GOODS|CORP|                                    84,790,319 |                                               27 |                               625,961,000 |                                              240 |  Americas  
