REF ENTITY|PRODUCT TYPE|TOTAL NUMBER OFCLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY
CDX.EM.29|Untranched|6|3.0|25,000,000|0
CDX.EM.30|Untranched|8|4.3|25,000,000|1
CDX.EM.31|Untranched|7|3.7|25,000,000|3
CDX.EM.32|Untranched|8|7.0|425,000,000|40
CDX.EM.33|Untranched|8|7.7|875,000,000|85
CDX.NA.HY.25|Untranched|6|2.3|25,000,000|0
CDX.NA.HY.27|Untranched|2|0.7|25,000,000|1
CDX.NA.HY.28|Untranched|3|1.0|25,000,000|0
CDX.NA.HY.29|Untranched|7|4.7|75,000,000|2
CDX.NA.HY.30|Untranched|4|1.3|25,000,000|0
CDX.NA.HY.31|Tranched|7|6.0|50,000,000|4
CDX.NA.HY.31|Untranched|9|6.3|125,000,000|4
CDX.NA.HY.32|Untranched|7|4.7|75,000,000|2
CDX.NA.HY.33|Untranched|9|9.0|2,225,000,000|93
CDX.NA.HY.34|Untranched|9|9.0|3,575,000,000|220
CDX.NA.IG.25|Untranched|0|0.0|25,000,000|0
CDX.NA.IG.26|Untranched|2|0.7|25,000,000|0
CDX.NA.IG.27|Untranched|5|2.0|75,000,000|1
CDX.NA.IG.28|Untranched|2|0.7|25,000,000|0
CDX.NA.IG.29|Tranched|5|3.7|50,000,000|1
CDX.NA.IG.29|Untranched|3|1.7|150,000,000|2
CDX.NA.IG.30|Untranched|6|2.7|50,000,000|1
CDX.NA.IG.31|Tranched|6|5.0|50,000,000|7
CDX.NA.IG.31|Untranched|7|6.3|250,000,000|3
CDX.NA.IG.32|Untranched|8|4.7|175,000,000|2
CDX.NA.IG.33|Tranched|6|5.7|75,000,000|3
CDX.NA.IG.33|Untranched|9|9.0|7,000,000,000|77
CDX.NA.IG.34|Untranched|10|9.3|12,275,000,000|262
CMBX.NA.AAA.10|Untranched|7|4.3|25,000,000|1
CMBX.NA.AAA.12|Untranched|8|6.0|75,000,000|9
CMBX.NA.AAA.8|Untranched|8|3.7|25,000,000|1
CMBX.NA.BBB-.6|Untranched|9|7.7|100,000,000|17
IBOXX USD LIQUID HIGH YIELD INDEX SERIES 1|Untranched|9|8.3|175,000,000|8
IOS.FN30.600.08|Untranched|2|0.7|25,000,000|0
ITRAXX ASIA EX-JAPAN IG SERIES 25|Untranched|1|0.3|25,000,000|0
ITRAXX ASIA EX-JAPAN IG SERIES 31|Untranched|3|1.7|25,000,000|1
