Reference EntityFEDERATIVE REPUBLIC OF BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                                                       3,431,707,361 |Average Number of Trades/Week                                                                    420 |Notional traded in prior 8 Weeks                                        26,304,137,136 |Contracts traded in prior 8 Weeks                                                                 3,445 |DC Region Americas           
THE MCCLATCHY COMPANY|CONSUMER SERVICES|CORP|                                                           56,625,846 |                                                                     30 |                                           674,400,000 |                                                                   367 | Americas           |
AMERICAN INTERNATIONAL GROUP, INC.|FINANCIALS|CORP|                                                           56,032,962 |                                                                       7 |                                           273,400,000 |                                                                    42 | Americas           |
MOTOROLA SOLUTIONS, INC.|TECHNOLOGY|CORP|                                                           55,911,308 |                                                                     12 |                                           194,050,000 |                                                                    58 | Americas           |
NATURGY ENERGY GROUP, S.A.|UTILITIES|CORP|                                                           55,529,854 |                                                                       9 |                                           539,969,836 |                                                                    61 | Europe           |
BHP BILLITON LIMITED|BASIC MATERIALS|CORP|                                                           55,480,354 |                                                                       7 |                                           190,886,509 |                                                                    38 | Australia NZ           |
MARUBENI CORPORATION|ENERGY|CORP|                                                           55,117,140 |                                                                       8 |                                           201,602,280 |                                                                    36 | Japan           |
SIEMENS AKTIENGESELLSCHAFT|INDUSTRIALS|CORP|                                                           55,009,493 |                                                                       5 |                                           109,356,865 |                                                                    18 | Europe           |
DEUTSCHE LUFTHANSA AKTIENGESELLSCHAFT|INDUSTRIALS|CORP|                                                           54,948,754 |                                                                       9 |                                           208,386,460 |                                                                    47 | Europe           |
DEVON ENERGY CORPORATION|ENERGY|CORP|                                                           54,859,769 |                                                                     14 |                                           228,625,000 |                                                                    83 | Americas           |
TECK RESOURCES LIMITED|ENERGY|CORP|                                                           54,739,974 |                                                                     14 |                                           420,420,000 |                                                                   127 | Americas           |
STANDARD CHARTERED PLC|FINANCIALS|CORP|                                                           54,369,738 |                                                                     12 |                                           533,986,691 |                                                                   132 | Europe           |
INTERNATIONAL BUSINESS MACHINES           CORPORATION|TECHNOLOGY|CORP|                                                           54,263,142 |                                                                       9 |                                           162,475,000 |                                                                    48 | Americas           |
AKTIEBOLAGET VOLVO|INDUSTRIALS|CORP|                                                           53,984,081 |                                                                       9 |                                           300,809,159 |                                                                    79 | Europe           |
ENBRIDGE INC.|ENERGY|CORP|                                                           53,929,577 |                                                                     12 |                                           252,550,000 |                                                                    73 | Americas           |
NAVIENT CORPORATION|FINANCIALS|CORP|                                                           53,593,121 |                                                                     12 |                                           271,150,000 |                                                                    78 | Americas           |
BEST BUY CO., INC.|CONSUMER SERVICES|CORP|                                                           52,834,000 |                                                                     11 |                                           147,925,000 |                                                                    56 | Americas           |
NEXT PLC|CONSUMER SERVICES|CORP|                                                           52,515,990 |                                                                     12 |                                           201,720,508 |                                                                    69 | Europe           |
RIO TINTO LIMITED|BASIC MATERIALS|CORP|                                                           52,502,435 |                                                                       9 |                                           280,659,518 |                                                                    50 | Australia NZ           |
VALERO ENERGY CORPORATION|ENERGY|CORP|                                                           52,174,577 |                                                                       9 |                                           311,250,000 |                                                                    57 | Americas           |
THE WALT DISNEY COMPANY|CONSUMER SERVICES|CORP|                                                           52,102,269 |                                                                       7 |                                           344,200,000 |                                                                    46 | Americas           |
APACHE CORPORATION|ENERGY|CORP|                                                           51,950,538 |                                                                     10 |                                           269,100,000 |                                                                    61 | Americas           |
CONOCOPHILLIPS|ENERGY|CORP|                                                           51,728,612 |                                                                       9 |                                           166,888,000 |                                                                    45 | Americas           |
HSBC HOLDINGS PLC|FINANCIALS|CORP|                                                           51,722,134 |                                                                     13 |                                           474,041,318 |                                                                   167 | Europe           |
ENCANA CORPORATION|ENERGY|CORP|                                                           51,134,996 |                                                                     10 |                                           303,900,000 |                                                                    62 | Americas           |
ROYAL DUTCH SHELL PLC|ENERGY|CORP|                                                           50,835,841 |                                                                       5 |                                           229,233,117 |                                                                    38 | Europe           |
BOMBARDIER INC.|INDUSTRIALS|CORP|                                                           50,828,325 |                                                                     20 |                                           319,883,056 |                                                                   145 | Americas           |
AUTOZONE, INC.|CONSUMER SERVICES|CORP|                                                           50,560,923 |                                                                       9 |                                           252,000,000 |                                                                    62 | Americas           |
DEERE & COMPANY|INDUSTRIALS|CORP|                                                           50,382,462 |                                                                       8 |                                           223,800,000 |                                                                    53 | Americas           |
UPC HOLDING B.V.|CONSUMER SERVICES|CORP|                                                           50,300,456 |                                                                     12 |                                           232,495,730 |                                                                   107 | Europe           |
UBS AG|FINANCIALS|CORP|                                                           49,412,560 |                                                                       7 |                                             74,257,513           |                                                                    14 | Europe           |
AVNET, INC.|CONSUMER GOODS|CORP|                                                           48,963,885 |                                                                     11 |                                           172,875,000 |                                                                    60 | Americas           |
PRUDENTIAL FINANCIAL, INC.|FINANCIALS|CORP|                                                           48,891,035 |                                                                     10 |                                           221,056,901 |                                                                    69 | Americas           |
LAFARGEHOLCIM LTD|INDUSTRIALS|CORP|                                                           48,646,505 |                                                                     12 |                                           373,570,496 |                                                                   101 | Europe           |
ADVANCED MICRO DEVICES, INC.|TECHNOLOGY|CORP|                                                           48,272,692 |                                                                     18 |                                           160,060,000 |                                                                    83 | Americas           |
CMA CGM|INDUSTRIALS|CORP|                                                           47,108,442 |                                                                     19 |                                           308,597,758 |                                                                   126 | Europe           |
HEIDELBERGCEMENT AG|INDUSTRIALS|CORP|                                                           47,055,712 |                                                                     14 |                                           280,908,768 |                                                                   112 | Europe           |
KINDER MORGAN, INC.|ENERGY|CORP|                                                           46,661,885 |                                                                       9 |                                           136,925,000 |                                                                    49 | Americas           |
LANXESS AKTIENGESELLSCHAFT|BASIC MATERIALS|CORP|                                                           46,566,007 |                                                                     17 |                                           302,747,863 |                                                                   155 | Europe           |
SAFEWAY INC.|CONSUMER SERVICES|CORP|                                                           46,403,333 |                                                                     13 |                                           332,810,600 |                                                                    87 | Americas           |
SUEDZUCKER AG|CONSUMER GOODS|CORP|                                                           46,220,330 |                                                                     13 |                                           364,975,634 |                                                                   106 | Europe           |
HSBC BANK PLC|FINANCIALS|CORP|                                                           46,173,966 |                                                                       9 |                                           236,475,513 |                                                                    89 | Europe           |
CHINA DEVELOPMENT BANK|GOVERNMENT|CORP|                                                           45,868,269 |                                                                       4 |                                           221,825,000 |                                                                    24 | Asia Ex-Japan           |
WPP 2005 LIMITED|CONSUMER SERVICES|CORP|                                                           45,829,271 |                                                                     18 |                                           148,769,914 |                                                                    50 | Europe           |
STATE OF ISRAEL|GOVERNMENT|SOV|                                                           45,200,417 |                                                                       4 |                                           235,302,000 |                                                                    38 | Europe           |
ENI S.P.A.|ENERGY|CORP|                                                           44,908,831 |                                                                       8 |                                           257,371,730 |                                                                    39 | Europe           |
ZIGGO BOND FINANCE B.V.|CONSUMER SERVICES|CORP|                                                           44,591,573 |                                                                     12 |                                           269,790,901 |                                                                    84 | Europe           |
NEWMONT MINING CORPORATION|BASIC MATERIALS|CORP|                                                           43,755,423 |                                                                     11 |                                           279,350,000 |                                                                   121 | Americas           |
THE HARTFORD FINANCIAL SERVICES GROUP,           INC.|FINANCIALS|CORP|                                                           43,585,038 |                                                                     11 |                                           154,700,000 |                                                                    46 | Americas           |
TOLL BROTHERS, INC.|CONSUMER GOODS|CORP|                                                           43,337,464 |                                                                     15 |                                           294,800,000 |                                                                   200 | Americas           |
NIPPON PAPER INDUSTRIES CO.,LTD.|BASIC MATERIALS|CORP|                                                           43,187,428 |                                                                       7 |                                             78,657,378           |                                                                    22 | Japan           |
PFIZER INC.|HEALTHCARE|CORP|                                                           42,951,621 |                                                                       7 |                                           220,753,226 |                                                                    84 | Americas           |
HCA INC.|HEALTHCARE|CORP|                                                           42,657,385 |                                                                     15 |                                           278,932,000 |                                                                    91 | Americas           |
CBS CORPORATION|CONSUMER SERVICES|CORP|                                                           42,359,962 |                                                                       9 |                                           215,125,000 |                                                                    74 | Americas           |
SWISS REINSURANCE COMPANY LTD|FINANCIALS|CORP|                                                           42,263,490 |                                                                       8 |                                           421,000,711 |                                                                    73 | Europe           |
LINCOLN NATIONAL CORPORATION|FINANCIALS|CORP|                                                           42,101,308 |                                                                       7 |                                           197,600,000 |                                                                    51 | Americas           |
HP INC.|TECHNOLOGY|CORP|                                                           41,948,458 |                                                                       9 |                                           226,740,000 |                                                                    75 | Americas           |
ROYAL CARIBBEAN CRUISES LTD.|CONSUMER SERVICES|CORP|                                                           41,833,615 |                                                                       8 |                                           109,460,000 |                                                                    45 | Americas           |
MITSUI O.S.K. LINES, LTD.|INDUSTRIALS|CORP|                                                           41,614,391 |                                                                       9 |                                           257,661,411 |                                                                    76 | Japan           |
TYSON FOODS, INC.|CONSUMER GOODS|CORP|                                                           41,531,701 |                                                                     10 |                                           272,203,226 |                                                                    60 | Americas           |
CNH INDUSTRIAL N.V.|INDUSTRIALS|CORP|                                                           41,045,154 |                                                                     14 |                                           317,849,152 |                                                                   137 | Europe           |
INDUSTRIAL AND COMMERCIAL BANK OF CHINA           LIMITED|FINANCIALS|CORP|                                                           40,940,000 |                                                                       4 |                                           283,090,000 |                                                                    29 | Asia Ex-Japan           |
UNITED RENTALS (NORTH AMERICA), INC.|INDUSTRIALS|CORP|                                                           40,900,000 |                                                                     12 |                                           124,800,000 |                                                                    71 | Americas           |
THE PROCTER & GAMBLE COMPANY|CONSUMER GOODS|CORP|                                                           40,096,239 |                                                                       4 |                                           142,903,226 |                                                                    33 | Americas           |
INTERNATIONAL PAPER COMPANY|BASIC MATERIALS|CORP|                                                           39,859,106 |                                                                       8 |                                           156,800,000 |                                                                    31 | Americas           |
NIPPON STEEL & SUMITOMO METAL           CORPORATION|BASIC MATERIALS|CORP|                                                           39,781,909 |                                                                       9 |                                           306,054,105 |                                                                    75 | Japan           |
CARDINAL HEALTH, INC.|CONSUMER SERVICES|CORP|                                                           39,560,663 |                                                                       9 |                                           224,503,226 |                                                                    74 | Americas           |
WALMART INC.|CONSUMER SERVICES|CORP|                                                           39,537,393 |                                                                       6 |                                           300,003,226 |                                                                    43 | Americas           |
CONAGRA BRANDS, INC.|CONSUMER GOODS|CORP|                                                           39,516,239 |                                                                     10 |                                           156,723,226 |                                                                    42 | Americas           |
EQUINOR ASA|ENERGY|CORP|                                                           38,988,410 |                                                                       7 |                                           110,619,345 |                                                                    44 | Europe           |
NIPPON YUSEN KABUSHIKI KAISHA|INDUSTRIALS|CORP|                                                           38,982,919 |                                                                       9 |                                           302,683,490 |                                                                    88 | Japan           |
BRITISH AMERICAN TOBACCO P.L.C.|CONSUMER GOODS|CORP|                                                           38,940,367 |                                                                       8 |                                           229,341,545 |                                                                    56 | Europe           |
WHIRLPOOL CORPORATION|CONSUMER GOODS|CORP|                                                           38,842,538 |                                                                       7 |                                           168,550,000 |                                                                    43 | Americas           |
KONINKLIJKE KPN N.V.|TELECOMMUNICATIONS SERVICES|CORP|                                                           38,820,301 |                                                                     11 |                                           170,679,133 |                                                                    79 | Europe           |
PEARSON PLC|CONSUMER SERVICES|CORP|                                                           38,661,110 |                                                                       9 |                                           145,873,699 |                                                                    35 | Europe           |
INTRUM AB|FINANCIALS|CORP|                                                           38,143,670 |                                                                     22 |                                           236,237,379 |                                                                   171 | Europe           |
TARGET CORPORATION|CONSUMER SERVICES|CORP|                                                           37,971,538 |                                                                       8 |                                             81,300,000           |                                                                    24 | Americas           |
TELEFONAKTIEBOLAGET L M ERICSSON|TECHNOLOGY|CORP|                                                           37,970,899 |                                                                     11 |                                           276,193,297 |                                                                    54 | Europe           |
MONDELEZ INTERNATIONAL, INC.|CONSUMER GOODS|CORP|                                                           37,606,522 |                                                                       7 |                                           217,411,735 |                                                                    43 | Americas           |
BOPARAN FINANCE PLC|CONSUMER GOODS|CORP|                                                           37,252,802 |                                                                     19 |                                           161,709,188 |                                                                    99 | Europe           |
VUE INTERNATIONAL BIDCO PLC|CONSUMER SERVICES|CORP|                                                           36,843,704 |                                                                     11 |                                           153,589,063 |                                                                    54 | Europe           |
COMPAGNIE DE SAINT-GOBAIN|INDUSTRIALS|CORP|                                                           36,773,513 |                                                                       8 |                                           249,744,611 |                                                                    58 | Europe           |
ENGIE|UTILITIES|CORP|                                                           36,576,292 |                                                                     12 |                                             38,309,730           |                                                                    14 | Europe           |
MGM RESORTS INTERNATIONAL|CONSUMER SERVICES|CORP|                                                           36,349,673 |                                                                     13 |                                           190,775,000 |                                                                    81 | Americas           |
EASTMAN CHEMICAL COMPANY|BASIC MATERIALS|CORP|                                                           36,305,731 |                                                                       8 |                                           162,150,000 |                                                                    33 | Americas           |
CONTINENTAL AKTIENGESELLSCHAFT|CONSUMER GOODS|CORP|                                                           36,228,726 |                                                                     10 |                                           183,306,252 |                                                                    45 | Europe           |
LEONARDO SOCIETA' PER AZIONI|INDUSTRIALS|CORP|                                                           36,140,701 |                                                                     14 |                                           276,845,058 |                                                                   136 | Europe           |
VALEO|CONSUMER GOODS|CORP|                                                           36,020,430 |                                                                     10 |                                           561,711,188 |                                                                   181 | Europe           |
MCKESSON CORPORATION|HEALTHCARE|CORP|                                                           35,706,047 |                                                                       9 |                                           234,428,226 |                                                                    68 | Americas           |
TOTAL SA|ENERGY|CORP|                                                           35,702,525 |                                                                       4 |                                             97,283,495           |                                                                    20 | Europe           |
NOKIA OYJ|TECHNOLOGY|CORP|                                                           35,605,644 |                                                                     11 |                                           271,159,789 |                                                                    72 | Europe           |
YUM! BRANDS, INC.|CONSUMER SERVICES|CORP|                                                           35,554,115 |                                                                       6 |                                           280,290,000 |                                                                    54 | Americas           |
