Reference EntityFEDERATIVE REPUBLIC OF BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                                          1,665,603,708 |Average Number of Trades/Week                                                      178 |Notional traded in prior 8 Weeks                                    7,115,922,000 |Contracts traded in prior 8 Weeks                                                       786 |DC RegionAmericas
ALTICE FRANCE|CONSUMER SERVICES|CORP|                                  128,217,201           |                                                       28 |                                      474,428,872 |                                                      190 |Europe
TELECOM ITALIA SPA|TELECOMMUNICATIONS SERVICES|CORP|                                  127,480,151           |                                                       28 |                                   1,085,418,553 |                                                      238 |Europe
TELEFONICA, S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                  125,978,785           |                                                       27 |                                      434,766,391 |                                                      123 |Europe
VODAFONE GROUP PUBLIC LIMITED COMPANY|TELECOMMUNICATIONS SERVICES|CORP|                                  123,458,422           |                                                       14 |                                      933,974,918 |                                                      113 |Europe
DEUTSCHE LUFTHANSA AKTIENGESELLSCHAFT|INDUSTRIALS|CORP|                                  123,315,800           |                                                       29 |                                   1,012,979,882 |                                                      244 |Europe
CARNIVAL CORPORATION|CONSUMER SERVICES|CORP|                                  121,883,515           |                                                       40 |                                      514,365,000 |                                                      182 |Americas
FORD MOTOR COMPANY|CONSUMER GOODS|CORP|                                  118,198,985           |                                                       37 |                                      448,745,000 |                                                      214 |Americas
ELECTRICITE DE FRANCE|UTILITIES|CORP|                                  117,211,276           |                                                       15 |                                      659,505,073 |                                                      102 |Europe
LLOYDS BANKING GROUP PLC|FINANCIALS|CORP|                                  115,494,053           |                                                       18 |                                      613,119,277 |                                                        87 |Europe
ENEL S.P.A.|UTILITIES|CORP|                                  115,261,599           |                                                       19 |                                      600,331,561 |                                                      102 |Europe
BANCO SANTANDER, S.A.|FINANCIALS|CORP|                                  114,739,827           |                                                       19 |                                      651,293,314 |                                                        90 |Europe
AIRBUS SE|INDUSTRIALS|CORP|                                  113,615,860           |                                                       16 |                                   1,080,844,534 |                                                      168 |Europe
GENERAL MOTORS COMPANY|CONSUMER GOODS|CORP|                                  112,562,864           |                                                       27 |                                      661,876,348 |                                                      187 |Americas
ROYAL CARIBBEAN CRUISES LTD.|CONSUMER SERVICES|CORP|                                  111,624,592           |                                                       35 |                                      589,395,000 |                                                      198 |Americas
R.R. DONNELLEY & SONS COMPANY|INDUSTRIALS|CORP|                                  110,592,923           |                                                       57 |                                      433,637,000 |                                                      204 |Americas
CITIGROUP INC.|FINANCIALS|CORP|                                  109,557,460           |                                                       15 |                                      558,746,600 |                                                        88 |Americas
JPMORGAN CHASE & CO.|FINANCIALS|CORP|                                  109,532,094           |                                                       13 |                                      712,992,360 |                                                        90 |Americas
MORGAN STANLEY|FINANCIALS|CORP|                                  108,771,346           |                                                       21 |                                      449,826,648 |                                                      131 |Americas
TECK RESOURCES LIMITED|ENERGY|CORP|                                  107,492,308           |                                                       38 |                                      318,920,000 |                                                      158 |Americas
BAYERISCHE MOTOREN WERKE           AKTIENGESELLSCHAFT|CONSUMER GOODS|CORP|                                  107,001,951           |                                                       17 |                                   1,193,569,603 |                                                      191 |Europe
BARCLAYS BANK PLC|FINANCIALS|CORP|                                  106,215,516           |                                                         8 |                                      627,800,663 |                                                        34 |Europe
