Reference EntityFEDERATIVE REPUBLIC OF BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                                          1,665,603,708 |Average Number of Trades/Week                                                      178 |Notional traded in prior 8 Weeks                                    7,115,922,000 |Contracts traded in prior 8 Weeks                                                       786 |DC RegionAmericas
PETROLEOS MEXICANOS|ENERGY|STATBODY|                                              55,189,915 |                                                       13 |                                      282,452,800 |                                                        70 |Americas
MONDELEZ INTERNATIONAL, INC.|CONSUMER GOODS|CORP|                                              54,576,268 |                                                       10 |                                      231,640,000 |                                                        40 |Americas
LANXESS AKTIENGESELLSCHAFT|BASIC MATERIALS|CORP|                                              53,619,035 |                                                       10 |                                      293,790,266 |                                                        30 |Europe
BANK OF CHINA LIMITED|FINANCIALS|CORP|                                              53,494,231 |                                                         6 |                                      264,100,000 |                                                        27 |Asia Ex-Japan
AVNET, INC.|CONSUMER SERVICES|CORP|                                              53,343,890 |                                                       14 |                                      293,679,730 |                                                        72 |Americas
DELL INC.|TECHNOLOGY|CORP|                                              53,331,077 |                                                       18 |                                      354,450,000 |                                                      151 |Americas
NEXT PLC|CONSUMER SERVICES|CORP|                                              53,294,892 |                                                       12 |                                      184,252,155 |                                                        54 |Europe
L BRANDS, INC.|CONSUMER SERVICES|CORP|                                              53,226,423 |                                                       21 |                                      160,800,000 |                                                        60 |Americas
CVS HEALTH CORPORATION|CONSUMER SERVICES|CORP|                                              53,125,385 |                                                       12 |                                      172,805,000 |                                                        35 |Americas
MARRIOTT INTERNATIONAL, INC.|CONSUMER SERVICES|CORP|                                              52,984,163 |                                                       13 |                                      281,378,000 |                                                        62 |Americas
UBS AG|FINANCIALS|CORP|                                              52,877,414 |                                                         4 |                                      164,946,163 |                                                        14 |Europe
ACCOR|CONSUMER SERVICES|CORP|                                              52,123,398 |                                                       13 |                                      192,596,444 |                                                        54 |Europe
LINCOLN NATIONAL CORPORATION|FINANCIALS|CORP|                                              51,998,654 |                                                       12 |                                      439,615,000 |                                                        80 |Americas
PULTEGROUP, INC.|CONSUMER GOODS|CORP|                                              51,692,692 |                                                       19 |                                      400,565,000 |                                                      221 |Americas
JOHNSON & JOHNSON|HEALTHCARE|CORP|                                              51,666,321 |                                                         7 |                                      376,992,060 |                                                        40 |Americas
NEXTERA ENERGY CAPITAL HOLDINGS, INC.|UTILITIES|CORP|                                              51,392,308 |                                                       10 |                                      351,900,000 |                                                        64 |Americas
TOLL BROTHERS, INC.|CONSUMER GOODS|CORP|                                              50,561,822 |                                                       23 |                                      307,786,121 |                                                      217 |Americas
ALLY FINANCIAL INC.|FINANCIALS|CORP|                                              50,395,269 |                                                       19 |                                      308,631,000 |                                                      125 |Americas
AVIS BUDGET GROUP, INC.|CONSUMER SERVICES|CORP|                                              50,177,962 |                                                       20 |                                      353,307,000 |                                                      148 |Americas
ENBRIDGE INC.|ENERGY|CORP|                                              49,828,423 |                                                       14 |                                      242,025,000 |                                                        76 |Americas
THE WILLIAMS COMPANIES, INC.|ENERGY|CORP|                                              49,650,577 |                                                       15 |                                      131,025,000 |                                                        43 |Americas
WALMART INC.|CONSUMER SERVICES|CORP|                                              49,602,964 |                                                         7 |                                      226,500,000 |                                                        26 |Americas
GENERAL MILLS, INC.|CONSUMER GOODS|CORP|                                              49,545,769 |                                                         9 |                                      117,890,000 |                                                        32 |Americas
ING GROEP N.V.|FINANCIALS|CORP|                                              49,496,139 |                                                         9 |                                      185,393,261 |                                                        51 |Europe
NRG ENERGY, INC.|UTILITIES|CORP|                                              49,452,654 |                                                       21 |                                      282,535,000 |                                                      156 |Americas
ZIGGO BOND COMPANY B.V.|CONSUMER SERVICES|CORP|                                              49,434,687 |                                                       15 |                                      263,529,966 |                                                        82 |Europe
TELEFONAKTIEBOLAGET L M ERICSSON|TECHNOLOGY|CORP|                                              49,104,910 |                                                         6 |                                      122,442,651 |                                                        32 |Europe
UNITED AIRLINES HOLDINGS, INC.|INDUSTRIALS|CORP|                                              49,059,631 |                                                       20 |                                      357,210,000 |                                                      132 |Americas
DXC TECHNOLOGY COMPANY|TECHNOLOGY|CORP|                                              48,918,846 |                                                       12 |                                      207,190,000 |                                                        53 |Americas
ENGIE|UTILITIES|CORP|                                              47,985,887 |                                                         6 |                                      145,581,088 |                                                        30 |Europe
DEERE & COMPANY|INDUSTRIALS|CORP|                                              47,852,885 |                                                       10 |                                      140,200,000 |                                                        36 |Americas
CELLNEX TELECOM, S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                              47,769,467 |                                                       12 |                                      193,133,804 |                                                        48 |Europe
BASF SE|BASIC MATERIALS|CORP|                                              47,656,639 |                                                         6 |                                      301,234,789 |                                                        46 |Europe
CARDINAL HEALTH, INC.|CONSUMER SERVICES|CORP|                                              47,583,654 |                                                       13 |                                      263,785,000 |                                                        63 |Americas
EASTMAN CHEMICAL COMPANY|BASIC MATERIALS|CORP|                                              47,464,962 |                                                       11 |                                      115,800,000 |                                                        34 |Americas
PRUDENTIAL PUBLIC LIMITED COMPANY|FINANCIALS|CORP|                                              47,423,784 |                                                       11 |                                      172,179,163 |                                                        46 |Europe
DOMINION ENERGY, INC.|UTILITIES|CORP|                                              47,261,038 |                                                       10 |                                      334,400,000 |                                                        29 |Americas
BRISTOL-MYERS SQUIBB COMPANY|HEALTHCARE|CORP|                                              46,983,462 |                                                       11 |                                      249,850,000 |                                                        38 |Americas
AUTOZONE, INC.|CONSUMER SERVICES|CORP|                                              46,930,385 |                                                         9 |                                      264,140,000 |                                                        51 |Americas
HCA INC.|HEALTHCARE|CORP|                                              46,814,808 |                                                       14 |                                      276,049,000 |                                                        70 |Americas
ENERGY TRANSFER LP|ENERGY|CORP|                                              46,648,816 |                                                       14 |                                      176,755,000 |                                                        46 |Americas
NOKIA OYJ|TECHNOLOGY|CORP|                                              46,507,598 |                                                       14 |                                      323,855,341 |                                                      102 |Europe
UNITI GROUP INC.|FINANCIALS|CORP|                                              46,255,885 |                                                       18 |                                      224,624,000 |                                                        73 |Americas
NEWMONT CORPORATION|BASIC MATERIALS|CORP|                                              46,211,385 |                                                       10 |                                      117,000,000 |                                                        33 |Americas
T-MOBILE USA, INC.|TELECOMMUNICATIONS SERVICES|CORP|                                              46,029,731 |                                                       15 |                                      238,550,000 |                                                        99 |Americas
KINGDOM OF THAILAND|GOVERNMENT|SOV|                                              45,947,308 |                                                         5 |                                      275,800,000 |                                                        47 |Asia Ex-Japan
UNITED KINGDOM OF GREAT BRITAIN AND           NORTHERN IRELAND|GOVERNMENT|SOV|                                              45,934,615 |                                                         4 |                                      141,000,000 |                                                        10 |Europe
LEONARDO SOCIETA' PER AZIONI|INDUSTRIALS|CORP|                                              45,325,632 |                                                       10 |                                      123,946,631 |                                                        45 |Europe
INTERNATIONAL GAME TECHNOLOGY PLC|CONSUMER SERVICES|CORP|                                              45,231,759 |                                                       19 |                                      109,813,906 |                                                        48 |Europe
ALLIANZ SE|FINANCIALS|CORP|                                              45,227,229 |                                                       10 |                                      242,743,449 |                                                        44 |Europe
CLEVELAND-CLIFFS INC.|BASIC MATERIALS|CORP|                                              45,005,777 |                                                       21 |                                      197,684,000 |                                                      156 |Americas
CONAGRA BRANDS, INC.|CONSUMER GOODS|CORP|                                              44,483,115 |                                                       11 |                                      155,555,000 |                                                        54 |Americas
LENNAR CORPORATION|CONSUMER GOODS|CORP|                                              44,264,683 |                                                       20 |                                      289,589,765 |                                                      173 |Americas
TOTALENERGIES SE|ENERGY|CORP|                                              43,516,692 |                                                         5 |                                      158,889,609 |                                                        34 |Europe
TEVA PHARMACEUTICAL INDUSTRIES LIMITED|HEALTHCARE|CORP|                                              43,223,308 |                                                       26 |                                      164,146,000 |                                                      123 |Americas
THE GOODYEAR TIRE & RUBBER COMPANY|CONSUMER GOODS|CORP|                                              43,026,690 |                                                       14 |                                      176,865,952 |                                                        77 |Americas
HP INC.|TECHNOLOGY|CORP|                                              42,991,923 |                                                       11 |                                      242,740,000 |                                                        59 |Americas
WPP 2005 LIMITED|CONSUMER SERVICES|CORP|                                              42,507,807 |                                                         8 |                                      241,038,652 |                                                        84 |Europe
BHP GROUP LIMITED|BASIC MATERIALS|CORP|                                              42,449,887 |                                                         2 |                                        64,630,000 |                                                        11 |Australia NZ
XEROX CORPORATION|TECHNOLOGY|CORP|                                              42,363,231 |                                                       12 |                                      180,750,000 |                                                        52 |Americas
RYDER SYSTEM, INC.|INDUSTRIALS|CORP|                                              42,064,077 |                                                       12 |                                      260,420,000 |                                                      101 |Americas
HANNOVER RUECK SE|FINANCIALS|CORP|                                              42,001,360 |                                                       10 |                                      168,948,972 |                                                        44 |Europe
THE AES CORPORATION|UTILITIES|CORP|                                              41,815,269 |                                                       14 |                                      343,140,000 |                                                        96 |Americas
UBS GROUP AG|FINANCIALS|CORP|                                              41,782,358 |                                                         6 |                                      116,514,515 |                                                        23 |Europe
MCDONALD'S CORPORATION|CONSUMER SERVICES|CORP|                                              41,750,000 |                                                       11 |                                      112,300,000 |                                                        41 |Americas
YUM! BRANDS, INC.|CONSUMER SERVICES|CORP|                                              41,738,077 |                                                       11 |                                      167,500,000 |                                                        36 |Americas
RITE AID CORPORATION|CONSUMER SERVICES|CORP|                                              41,690,692 |                                                       16 |                                      237,570,000 |                                                      108 |Americas
CONOCOPHILLIPS|ENERGY|CORP|                                              41,564,771 |                                                       11 |                                      120,630,000 |                                                        37 |Americas
SWISS REINSURANCE COMPANY LTD|FINANCIALS|CORP|                                              41,440,388 |                                                         8 |                                      306,074,442 |                                                        35 |Europe
SAIPEM FINANCE INTERNATIONAL B.V.|ENERGY|CORP|                                              41,410,977 |                                                       14 |                                      262,839,423 |                                                        86 |Europe
KINDER MORGAN, INC.|ENERGY|CORP|                                              41,360,385 |                                                       10 |                                      100,420,000 |                                                        33 |Americas
INTERNATIONAL PAPER COMPANY|BASIC MATERIALS|CORP|                                              40,765,870 |                                                       11 |                                      119,330,000 |                                                        38 |Americas
ABU DHABI|GOVERNMENT|STATE|                                              40,226,154 |                                                         9 |                                      217,900,000 |                                                        38 |Europe
STAPLES, INC.|CONSUMER SERVICES|CORP|                                              40,203,692 |                                                       17 |                                      212,000,000 |                                                        82 |Americas
MGM RESORTS INTERNATIONAL|CONSUMER SERVICES|CORP|                                              39,967,615 |                                                       13 |                                      272,083,000 |                                                        96 |Americas
BEAZER HOMES USA, INC.|CONSUMER GOODS|CORP|                                              39,876,269 |                                                       16 |                                      201,825,000 |                                                      126 |Americas
COMMUNITY HEALTH SYSTEMS, INC.|HEALTHCARE|CORP|                                              39,805,423 |                                                       16 |                                      220,873,000 |                                                        96 |Americas
TENET HEALTHCARE CORPORATION|HEALTHCARE|CORP|                                              39,587,967 |                                                       16 |                                      209,357,143 |                                                        74 |Americas
AKTIEBOLAGET VOLVO|INDUSTRIALS|CORP|                                              39,405,836 |                                                         7 |                                      190,338,252 |                                                        37 |Europe
SANOFI|HEALTHCARE|CORP|                                              39,258,130 |                                                         6 |                                      120,217,455 |                                                        39 |Europe
THE HARTFORD FINANCIAL SERVICES GROUP,           INC.|FINANCIALS|CORP|                                              38,714,231 |                                                       11 |                                      334,700,000 |                                                        70 |Americas
REPUBLIC OF PANAMA|GOVERNMENT|SOV|                                              38,453,692 |                                                       14 |                                      255,185,000 |                                                        88 |Americas
WESTPAC BANKING CORPORATION|FINANCIALS|CORP|                                              38,271,538 |                                                         4 |                                        92,400,000 |                                                         8 |Australia NZ
FEDERAL REPUBLIC OF GERMANY|GOVERNMENT|SOV|                                              37,961,538 |                                                         5 |                                      143,400,000 |                                                        27 |Europe
UKRAINE|GOVERNMENT|SOV|                                              37,918,667 |                                                       13 |                                      168,455,000 |                                                        59 |Europe
ALTICE FINCO S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                              37,682,893 |                                                       14 |                                      183,005,620 |                                                        46 |Europe
CATERPILLAR INC.|INDUSTRIALS|CORP|                                              37,419,310 |                                                         7 |                                      192,052,060 |                                                        46 |Americas
COX COMMUNICATIONS, INC.|CONSUMER SERVICES|CORP|                                              37,237,157 |                                                         7 |                                      331,890,000 |                                                        55 |Americas
ALSTOM|INDUSTRIALS|CORP|                                              37,219,102 |                                                         5 |                                      206,577,718 |                                                        41 |Europe
BEST BUY CO., INC.|CONSUMER SERVICES|CORP|                                              36,989,038 |                                                       11 |                                      213,315,000 |                                                        57 |Americas
D.R. HORTON, INC.|CONSUMER GOODS|CORP|                                              36,920,923 |                                                       10 |                                      180,113,000 |                                                        46 |Americas
ARROW ELECTRONICS, INC.|CONSUMER SERVICES|CORP|                                              36,407,515 |                                                       11 |                                      143,670,000 |                                                        36 |Americas
PEARSON PLC|CONSUMER SERVICES|CORP|                                              36,166,946 |                                                         6 |                                        68,539,327 |                                                        27 |Europe
STATE BANK OF INDIA|FINANCIALS|STATBODY|                                              36,118,269 |                                                         5 |                                      138,200,000 |                                                        24 |Asia Ex-Japan
NIPPON YUSEN KABUSHIKI KAISHA|INDUSTRIALS|CORP|                                              36,087,468 |                                                       12 |                                      151,872,565 |                                                        43 |Japan
TYSON FOODS, INC.|CONSUMER GOODS|CORP|                                              35,997,308 |                                                       10 |                                      243,040,000 |                                                        49 |Americas
THE WALT DISNEY COMPANY|CONSUMER SERVICES|CORP|                                              35,715,000 |                                                         8 |                                        95,375,000 |                                                        33 |Americas
NAVIENT CORPORATION|FINANCIALS|CORP|                                              35,668,609 |                                                       16 |                                      151,849,000 |                                                        52 |Americas
MITSUI O.S.K. LINES, LTD.|INDUSTRIALS|CORP|                                              35,582,096 |                                                       12 |                                      158,244,309 |                                                        46 |Japan
UNITEDHEALTH GROUP INCORPORATED|HEALTHCARE|CORP|                                              35,480,962 |                                                         7 |                                      259,970,000 |                                                        42 |Americas
PUBLICIS GROUPE SA|CONSUMER SERVICES|CORP|                                              35,388,197 |                                                         6 |                                      167,340,306 |                                                        38 |Europe
INTRUM AB|FINANCIALS|CORP|                                              35,376,143 |                                                       12 |                                        94,089,421 |                                                        39 |Europe
NESTLE S.A.|CONSUMER GOODS|CORP|                                              35,215,086 |                                                         4 |                                      187,148,879 |                                                        39 |Europe
NEWELL BRANDS INC.|CONSUMER GOODS|CORP|                                              35,142,192 |                                                         9 |                                      228,062,000 |                                                        73 |Americas
LVMH MOET HENNESSY LOUIS VUITTON|CONSUMER GOODS|CORP|                                              34,894,573 |                                                         5 |                                      117,743,447 |                                                        34 |Europe
BAXTER INTERNATIONAL INC.|HEALTHCARE|CORP|                                              34,825,000 |                                                       10 |                                      126,500,000 |                                                        34 |Americas
