Reference EntityREPUBLIC OF ITALY|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                                        3,307,054,703 |Average Number of Trades/Week                                                     115 |Notional traded in prior 8 Weeks                                  32,605,791,800 |Contracts traded in prior 8 Weeks                                                     881 |DC Region Europe 
ASSICURAZIONI GENERALI - SOCIETA PER AZIONI|FINANCIALS|CORP|                                          302,317,218 |                                                      43 |                                   2,523,912,477 |                                                    311 | Europe 
TELEFONICA, S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                          288,477,417 |                                                      43 |                                   3,135,363,783 |                                                    387 | Europe 
TESCO PLC|CONSUMER SERVICES|CORP|                                          287,953,404 |                                                      49 |                                   1,839,830,551 |                                                    447 | Europe 
HEIDELBERG MATERIALS AG|INDUSTRIALS|CORP|                                          287,365,049 |                                                      47 |                                      893,471,410 |                                                    246 | Europe 
RENAULT|CONSUMER GOODS|CORP|                                          285,357,285 |                                                      53 |                                   2,070,587,761 |                                                    347 | Europe 
UNICREDIT, SOCIETA PER AZIONI|FINANCIALS|CORP|                                          276,341,511 |                                                      49 |                                   2,584,897,100 |                                                    392 | Europe 
COMMERZBANK AKTIENGESELLSCHAFT|FINANCIALS|CORP|                                          275,174,337 |                                                      49 |                                   2,741,846,888 |                                                    401 | Europe 
GLENCORE INTERNATIONAL AG|BASIC MATERIALS|CORP|                                          271,879,738 |                                                      54 |                                   2,825,475,734 |                                                    435 | Europe 
TOTALENERGIES SE|ENERGY|CORP|                                          267,220,269 |                                                      25 |                                      950,033,816 |                                                    127 | Europe 
ELECTRICITE DE FRANCE|UTILITIES|CORP|                                          265,976,476 |                                                      31 |                                   3,351,193,745 |                                                    355 | Europe 
ALTICE FRANCE|CONSUMER SERVICES|CORP|                                          264,776,139 |                                                      69 |                                   2,667,040,081 |                                                    839 | Europe 
SHELL PLC|ENERGY|CORP|                                          263,546,827 |                                                      28 |                                   1,685,088,289 |                                                    178 | Europe 
BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY|TELECOMMUNICATIONS SERVICES|CORP|                                          261,166,530 |                                                      52 |                                   3,161,994,115 |                                                    682 | Europe 
TELECOM ITALIA SPA|TELECOMMUNICATIONS SERVICES|CORP|                                          259,889,985 |                                                      50 |                                   3,510,686,984 |                                                    644 | Europe 
BARCLAYS PLC|FINANCIALS|CORP|                                          255,387,433 |                                                      42 |                                   2,422,428,193 |                                                    337 | Europe 
SANOFI|HEALTHCARE|CORP|                                          253,919,759 |                                                      24 |                                   1,212,984,033 |                                                    112 | Europe 
EQUINOR ASA|ENERGY|CORP|                                          251,850,938 |                                                      22 |                                   1,511,119,576 |                                                    113 | Europe 
FORD MOTOR COMPANY|CONSUMER GOODS|CORP|                                          250,230,992 |                                                      68 |                                   1,518,549,891 |                                                    481 | Americas 
DEUTSCHE TELEKOM AG|TELECOMMUNICATIONS SERVICES|CORP|                                          250,006,612 |                                                      20 |                                   4,125,291,560 |                                                    286 | Europe 
BNP PARIBAS|FINANCIALS|CORP|                                          248,110,829 |                                                      39 |                                   1,551,498,089 |                                                    265 | Europe 
MARKS AND SPENCER P.L.C.|CONSUMER SERVICES|CORP|                                          244,954,217 |                                                      51 |                                   2,121,093,766 |                                                    436 | Europe 
HOLCIM AG|INDUSTRIALS|CORP|                                          244,613,413 |                                                      39 |                                   1,160,168,121 |                                                    267 | Europe 
BRITISH AMERICAN TOBACCO P.L.C.|CONSUMER GOODS|CORP|                                          239,658,892 |                                                      37 |                                   1,648,802,855 |                                                    202 | Europe 
DEUTSCHE LUFTHANSA AKTIENGESELLSCHAFT|INDUSTRIALS|CORP|                                          237,586,659 |                                                      46 |                                   1,505,292,715 |                                                    289 | Europe 
CASINO GUICHARD-PERRACHON|CONSUMER SERVICES|CORP|                                          236,086,742 |                                                      70 |                                   1,007,004,398 |                                                    329 | Europe 
CREDIT AGRICOLE SA|FINANCIALS|CORP|                                          231,000,044 |                                                      41 |                                   1,491,048,892 |                                                    270 | Europe 
VODAFONE GROUP PUBLIC LIMITED COMPANY|TELECOMMUNICATIONS SERVICES|CORP|                                          230,675,419 |                                                      28 |                                   2,624,034,055 |                                                    273 | Europe 
ANGLO AMERICAN PLC|BASIC MATERIALS|CORP|                                          228,439,716 |                                                      45 |                                   2,797,226,539 |                                                    475 | Europe 
CONTINENTAL AKTIENGESELLSCHAFT|CONSUMER GOODS|CORP|                                          223,408,547 |                                                      40 |                                   1,523,422,019 |                                                    345 | Europe 
BANCO BILBAO VIZCAYA ARGENTARIA, SOCIEDAD ANONIMA|FINANCIALS|CORP|                                          222,346,780 |                                                      42 |                                   1,231,062,390 |                                                    229 | Europe 
GENERAL MOTORS COMPANY|CONSUMER GOODS|CORP|                                          220,071,374 |                                                      89 |                                   1,081,921,512 |                                                    520 | Americas 
NATWEST GROUP PLC|FINANCIALS|CORP|                                          212,419,096 |                                                      34 |                                   1,568,674,647 |                                                    220 | Europe 
VIVENDI SE|CONSUMER SERVICES|CORP|                                          209,231,465 |                                                      33 |                                      896,217,802 |                                                    144 | Europe 
AEGON N.V.|FINANCIALS|CORP|                                          207,838,965 |                                                      32 |                                   1,094,511,330 |                                                    165 | Europe 
LVMH MOET HENNESSY LOUIS VUITTON|CONSUMER GOODS|CORP|                                          206,857,259 |                                                      21 |                                   1,557,839,439 |                                                    159 | Europe 
THE GOLDMAN SACHS GROUP, INC.|FINANCIALS|CORP|                                          205,695,808 |                                                      24 |                                   1,296,044,000 |                                                    142 | Americas 
SWISS REINSURANCE COMPANY LTD|FINANCIALS|CORP|                                          203,908,193 |                                                      24 |                                   1,201,230,776 |                                                    166 | Europe 
AVIVA PLC|FINANCIALS|CORP|                                          197,487,366 |                                                      33 |                                   1,196,276,297 |                                                    202 | Europe 
BAYER AKTIENGESELLSCHAFT|HEALTHCARE|CORP|                                          197,119,577 |                                                      30 |                                   1,780,808,002 |                                                    200 | Europe 
DANONE|CONSUMER GOODS|CORP|                                          194,502,539 |                                                      25 |                                   1,113,440,626 |                                                    143 | Europe 
ENEL S.P.A.|UTILITIES|CORP|                                          192,787,213 |                                                      36 |                                   1,852,119,306 |                                                    327 | Europe 
IMPERIAL BRANDS PLC|CONSUMER GOODS|CORP|                                          192,079,250 |                                                      29 |                                   1,374,937,994 |                                                    161 | Europe 
CARREFOUR|CONSUMER SERVICES|CORP|                                          187,733,783 |                                                      30 |                                   1,150,680,192 |                                                    200 | Europe 
ENI S.P.A.|ENERGY|CORP|                                          185,604,234 |                                                      28 |                                   1,444,510,501 |                                                    195 | Europe 
REPSOL, S.A.|ENERGY|CORP|                                          185,411,541 |                                                      28 |                                   1,553,877,512 |                                                    240 | Europe 
NEXT PLC|CONSUMER SERVICES|CORP|                                          183,208,357 |                                                      37 |                                      902,198,897 |                                                    204 | Europe 
ARCELORMITTAL|BASIC MATERIALS|CORP|                                          180,499,471 |                                                      43 |                                   1,598,039,313 |                                                    394 | Europe 
PRUDENTIAL FINANCIAL, INC.|FINANCIALS|CORP|                                          177,883,356 |                                                      33 |                                      488,176,860 |                                                    123 | Americas 
VIRGIN MEDIA FINANCE PLC|TELECOMMUNICATIONS SERVICES|CORP|                                          176,795,390 |                                                      36 |                                   2,611,878,585 |                                                    489 | Europe 
BASF SE|BASIC MATERIALS|CORP|                                          176,127,557 |                                                      27 |                                   1,775,678,190 |                                                    303 | Europe 
KINGDOM OF BELGIUM|GOVERNMENT|SOV|                                          176,059,332 |                                                      13 |                                   1,588,050,000 |                                                     66 | Europe 
VALEO|CONSUMER GOODS|CORP|                                          173,050,922 |                                                      40 |                                   1,006,534,127 |                                                    217 | Europe 
LANXESS AKTIENGESELLSCHAFT|BASIC MATERIALS|CORP|                                          171,515,283 |                                                      33 |                                   1,788,306,715 |                                                    271 | Europe 
METLIFE, INC.|FINANCIALS|CORP|                                          171,107,792 |                                                      39 |                                      417,421,000 |                                                    100 | Americas 
MUENCHENER RUECKVERSICHERUNGS-GESELLSCHAFT AKTIENGESELLSCHAFT IN MUENCHEN|FINANCIALS|CORP|                                          170,862,540 |                                                      24 |                                   1,662,798,330 |                                                    188 | Europe 
ROYAL CARIBBEAN CRUISES LTD.|CONSUMER SERVICES|CORP|                                          169,879,038 |                                                      46 |                                      597,682,000 |                                                    206 | Americas 
PUBLICIS GROUPE SA|CONSUMER SERVICES|CORP|                                          169,612,889 |                                                      27 |                                   1,127,462,490 |                                                    174 | Europe 
AMGEN INC.|HEALTHCARE|CORP|                                          169,271,085 |                                                      22 |                                      501,940,000 |                                                     97 | Americas 
