Reference EntityREPUBLIC OF ITALY|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                                        3,307,054,703 |Average Number of Trades/Week                                                     115 |Notional traded in prior 8 Weeks                                  32,605,791,800 |Contracts traded in prior 8 Weeks                                                     881 |DC Region Europe 
KONINKLIJKE PHILIPS N.V.|CONSUMER GOODS|CORP|                                            84,836,798 |                                                      20 |                                      395,163,586 |                                                    104 | Europe 
PETROLEO BRASILEIRO S/A PETROBRAS|ENERGY|CORP|                                            84,231,065 |                                                      14 |                                      277,615,700 |                                                     98 | Americas 
NEWELL BRANDS INC.|CONSUMER GOODS|CORP|                                            83,713,038 |                                                      33 |                                      329,850,000 |                                                    166 | Americas 
ARDAGH PACKAGING FINANCE PUBLIC LIMITED COMPANY|INDUSTRIALS|CORP|                                            83,618,511 |                                                      27 |                                      575,370,888 |                                                    190 | Europe 
TELEFONAKTIEBOLAGET L M ERICSSON|TECHNOLOGY|CORP|                                            83,379,159 |                                                      17 |                                   1,025,907,350 |                                                    224 | Europe 
TENET HEALTHCARE CORPORATION|HEALTHCARE|CORP|                                            83,292,846 |                                                      29 |                                      294,500,000 |                                                    114 | Americas 
ORACLE CORPORATION|TECHNOLOGY|CORP|                                            82,391,777 |                                                      15 |                                      210,710,000 |                                                     37 | Americas 
PULTEGROUP, INC.|CONSUMER GOODS|CORP|                                            81,535,392 |                                                      25 |                                      297,980,000 |                                                    106 | Americas 
M.D.C. HOLDINGS, INC.|CONSUMER GOODS|CORP|                                            81,533,862 |                                                      20 |                                      210,180,000 |                                                     93 | Americas 
NOKIA OYJ|TECHNOLOGY|CORP|                                            80,484,496 |                                                      20 |                                   1,065,979,748 |                                                    230 | Europe 
NATWEST MARKETS PLC|FINANCIALS|CORP|                                            80,302,813 |                                                      13 |                                      114,112,712 |                                                     30 | Europe 
CCO HOLDINGS, LLC|CONSUMER SERVICES|CORP|                                            79,284,077 |                                                      19 |                                      304,500,000 |                                                    130 | Americas 
FORTUM OYJ|UTILITIES|CORP|                                            77,645,393 |                                                      18 |                                      875,430,259 |                                                    192 | Europe 
D.R. HORTON, INC.|CONSUMER GOODS|CORP|                                            75,587,054 |                                                      14 |                                      208,200,000 |                                                     53 | Americas 
THE SOUTHERN COMPANY|UTILITIES|CORP|                                            75,471,200 |                                                      20 |                                      348,749,000 |                                                    142 | Americas 
ENBRIDGE INC.|ENERGY|CORP|                                            75,149,469 |                                                      17 |                                      277,090,000 |                                                     88 | Americas 
THE AES CORPORATION|UTILITIES|CORP|                                            74,631,412 |                                                      16 |                                      235,085,000 |                                                    115 | Americas 
BOMBARDIER INC.|INDUSTRIALS|CORP|                                            74,555,769 |                                                      33 |                                      317,700,000 |                                                    149 | Americas 
VALERO ENERGY CORPORATION|ENERGY|CORP|                                            74,354,662 |                                                      15 |                                      253,400,000 |                                                     66 | Americas 
UNITED GROUP B.V.|CONSUMER SERVICES|CORP|                                            74,221,431 |                                                      24 |                                      553,319,458 |                                                    186 | Europe 
SKY LIMITED|CONSUMER SERVICES|CORP|                                            74,176,286 |                                                      12 |                                      371,369,989 |                                                     61 | Europe 
STENA AKTIEBOLAG|INDUSTRIALS|CORP|                                            73,971,139 |                                                      20 |                                      665,899,854 |                                                    169 | Europe 
ALTRIA GROUP, INC.|CONSUMER GOODS|CORP|                                            73,798,285 |                                                      16 |                                      220,957,000 |                                                     70 | Americas 
NRG ENERGY, INC.|UTILITIES|CORP|                                            73,740,615 |                                                      24 |                                      557,616,000 |                                                    195 | Americas 
DELL INC.|TECHNOLOGY|CORP|                                            73,513,315 |                                                      21 |                                      218,440,000 |                                                     97 | Americas 
ABU DHABI|GOVERNMENT|STATE|                                            71,591,694 |                                                      10 |                                      249,235,040 |                                                     34 | Europe 
RTX CORPORATION|INDUSTRIALS|CORP|                                            71,473,969 |                                                      12 |                                      813,350,000 |                                                     50 | Americas 
TELEKOM AUSTRIA AKTIENGESELLSCHAFT|TELECOMMUNICATIONS SERVICES|CORP|                                            71,292,824 |                                                      15 |                                      747,438,240 |                                                    136 | Europe 
SMURFIT KAPPA ACQUISITIONS UNLIMITED COMPANY|INDUSTRIALS|CORP|                                            70,892,992 |                                                      16 |                                      602,287,651 |                                                    158 | Europe 
THE KROGER CO.|CONSUMER SERVICES|CORP|                                            70,872,700 |                                                      17 |                                      148,910,000 |                                                     51 | Americas 
BLOCK FINANCIAL LLC|INDUSTRIALS|CORP|                                            70,323,708 |                                                      13 |                                      101,550,000 |                                                     39 | Americas 
JOHNSON & JOHNSON|HEALTHCARE|CORP|                                            69,699,938 |                                                      11 |                                      186,000,000 |                                                     57 | Americas 
DEERE & COMPANY|INDUSTRIALS|CORP|                                            69,473,754 |                                                      13 |                                      125,347,200 |                                                     30 | Americas 
MCKESSON CORPORATION|CONSUMER SERVICES|CORP|                                            69,403,123 |                                                      12 |                                      251,500,000 |                                                     60 | Americas 
AVIS BUDGET GROUP, INC.|CONSUMER SERVICES|CORP|                                            68,617,769 |                                                      25 |                                      388,705,000 |                                                    183 | Americas 
UNILEVER FINANCE NETHERLANDS B.V.|CONSUMER GOODS|CORP|                                            68,394,887 |                                                      15 |                                      521,024,533 |                                                     87 | Europe 
AMERICAN ELECTRIC POWER COMPANY, INC.|UTILITIES|CORP|                                            68,217,460 |                                                      15 |                                      352,705,000 |                                                    148 | Americas 
MCDONALD'S CORPORATION|CONSUMER SERVICES|CORP|                                            68,063,785 |                                                      13 |                                      256,340,000 |                                                     28 | Americas 
CMA CGM|INDUSTRIALS|CORP|                                            67,735,631 |                                                      18 |                                      283,344,278 |                                                     88 | Europe 
BEAZER HOMES USA, INC.|CONSUMER GOODS|CORP|                                            67,586,192 |                                                      26 |                                      402,403,000 |                                                    196 | Americas 
BEST BUY CO., INC.|CONSUMER SERVICES|CORP|                                            67,470,708 |                                                      14 |                                       89,800,000 |                                                     36 | Americas 
CANADIAN NATURAL RESOURCES LIMITED|ENERGY|CORP|                                            67,344,265 |                                                      16 |                                      244,000,000 |                                                     72 | Americas 
CAMPBELL SOUP COMPANY|CONSUMER GOODS|CORP|                                            67,220,362 |                                                      15 |                                      237,609,000 |                                                     75 | Americas 
AVNET, INC.|CONSUMER SERVICES|CORP|                                            67,108,477 |                                                      19 |                                      189,730,000 |                                                     54 | Americas 
HP INC.|TECHNOLOGY|CORP|                                            67,059,246 |                                                      15 |                                      191,600,000 |                                                     40 | Americas 
CELLNEX TELECOM, S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                            66,835,957 |                                                      17 |                                      648,610,407 |                                                    187 | Europe 
THE WILLIAMS COMPANIES, INC.|ENERGY|CORP|                                            66,718,469 |                                                      18 |                                      264,911,000 |                                                     84 | Americas 
ALTICE FINCO S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                            66,699,870 |                                                      23 |                                      708,686,236 |                                                    306 | Europe 
ADVANCED MICRO DEVICES, INC.|TECHNOLOGY|CORP|                                            66,061,777 |                                                      15 |                                      461,643,000 |                                                    133 | Americas 
HSBC BANK PLC|FINANCIALS|CORP|                                            65,920,373 |                                                        7 |                                      274,371,172 |                                                     39 | Europe 
ARROW ELECTRONICS, INC.|CONSUMER SERVICES|CORP|                                            65,680,362 |                                                      15 |                                      121,740,000 |                                                     48 | Americas 
RENTOKIL INITIAL PLC|INDUSTRIALS|CORP|                                            64,373,802 |                                                      10 |                                      535,071,467 |                                                    104 | Europe 
KINDER MORGAN, INC.|ENERGY|CORP|                                            64,263,208 |                                                      12 |                                      185,735,000 |                                                     65 | Americas 
TELENOR ASA|TELECOMMUNICATIONS SERVICES|CORP|                                            64,064,894 |                                                      13 |                                      729,521,790 |                                                    127 | Europe 
TELIA COMPANY AB|TELECOMMUNICATIONS SERVICES|CORP|                                            64,000,411 |                                                      11 |                                      613,557,194 |                                                    110 | Europe 
ZIGGO BOND COMPANY B.V.|CONSUMER SERVICES|CORP|                                            63,294,847 |                                                      19 |                                      685,799,239 |                                                    169 | Europe 
HONEYWELL INTERNATIONAL INC.|INDUSTRIALS|CORP|                                            62,252,623 |                                                        9 |                                       81,800,000 |                                                     31 | Americas 
BERKSHIRE HATHAWAY INC.|FINANCIALS|CORP|                                            62,250,862 |                                                      10 |                                      153,000,000 |                                                     35 | Americas 
INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED|FINANCIALS|CORP|                                            61,544,115 |                                                      11 |                                      489,872,000 |                                                    119 | Asia Ex-Japan 
DANAHER CORPORATION|HEALTHCARE|CORP|                                            61,155,508 |                                                      10 |                                      460,940,000 |                                                     74 | Americas 
MOTOROLA SOLUTIONS, INC.|TECHNOLOGY|CORP|                                            61,040,200 |                                                      13 |                                      261,400,000 |                                                     43 | Americas 
OVINTIV INC.|ENERGY|CORP|                                            60,965,169 |                                                      18 |                                      275,724,000 |                                                    105 | Americas 
CARDINAL HEALTH, INC.|CONSUMER SERVICES|CORP|                                            60,927,823 |                                                      14 |                                      144,800,000 |                                                     53 | Americas 
L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE|BASIC MATERIALS|CORP|                                            60,303,859 |                                                      10 |                                      499,989,236 |                                                     96 | Europe 
MONDELEZ INTERNATIONAL, INC.|CONSUMER GOODS|CORP|                                            60,172,708 |                                                      14 |                                      240,246,000 |                                                     53 | Americas 
TARGET CORPORATION|CONSUMER SERVICES|CORP|                                            59,995,092 |                                                      12 |                                      164,664,000 |                                                     62 | Americas 
SOUTHWEST AIRLINES CO.|INDUSTRIALS|CORP|                                            59,486,554 |                                                      15 |                                      210,980,000 |                                                     69 | Americas 
TYSON FOODS, INC.|CONSUMER GOODS|CORP|                                            59,471,631 |                                                      14 |                                      361,590,000 |                                                     89 | Americas 
MUNDYS S.P.A.|INDUSTRIALS|CORP|                                            59,141,957 |                                                      20 |                                      266,572,173 |                                                     94 | Europe 
CECONOMY AG|CONSUMER SERVICES|CORP|                                            59,115,318 |                                                      18 |                                      418,007,152 |                                                    124 | Europe 
INTERNATIONAL BUSINESS MACHINES CORPORATION|TECHNOLOGY|CORP|                                            58,571,202 |                                                      15 |                                      221,272,860 |                                                     70 | Americas 
INTRUM AB|FINANCIALS|CORP|                                            58,468,228 |                                                      21 |                                      531,185,945 |                                                    275 | Europe 
OMNICOM GROUP INC.|CONSUMER SERVICES|CORP|                                            58,298,669 |                                                      10 |                                      370,100,000 |                                                     42 | Americas 
KONINKLIJKE DSM N.V.|BASIC MATERIALS|CORP|                                            58,233,339 |                                                      11 |                                      555,068,583 |                                                    100 | Europe 
KINGDOM OF THAILAND|GOVERNMENT|SOV|                                            58,096,154 |                                                        6 |                                      177,100,000 |                                                     33 | Asia Ex-Japan 
NORTHROP GRUMMAN CORPORATION|INDUSTRIALS|CORP|                                            58,033,938 |                                                      11 |                                      106,000,000 |                                                     30 | Americas 
DEUTSCHE POST AG|INDUSTRIALS|CORP|                                            57,960,125 |                                                        6 |                                      381,086,058 |                                                     17 | Europe 
BOSTON SCIENTIFIC CORPORATION|HEALTHCARE|CORP|                                            57,557,546 |                                                      12 |                                      242,840,000 |                                                     54 | Americas 
KRAFT HEINZ FOODS COMPANY|CONSUMER GOODS|CORP|                                            56,426,585 |                                                      12 |                                      208,595,000 |                                                     74 | Americas 
TRANSOCEAN INC.|ENERGY|CORP|                                            56,243,962 |                                                      21 |                                      326,120,000 |                                                    150 | Americas 
AMERICAN AXLE & MANUFACTURING, INC.|CONSUMER GOODS|CORP|                                            56,207,769 |                                                      18 |                                      300,386,000 |                                                    115 | Americas 
HOCHTIEF AKTIENGESELLSCHAFT|INDUSTRIALS|CORP|                                            56,097,600 |                                                      13 |                                      353,301,652 |                                                     65 | Europe 
UPC HOLDING B.V.|TELECOMMUNICATIONS SERVICES|CORP|                                            55,740,008 |                                                      17 |                                      770,738,662 |                                                    251 | Europe 
EASTMAN CHEMICAL COMPANY|BASIC MATERIALS|CORP|                                            55,448,517 |                                                      13 |                                      136,760,000 |                                                     45 | Americas 
WEYERHAEUSER COMPANY|BASIC MATERIALS|CORP|                                            54,780,508 |                                                      14 |                                      171,470,000 |                                                     73 | Americas 
HALLIBURTON COMPANY|ENERGY|CORP|                                            54,766,092 |                                                      12 |                                      253,908,000 |                                                     63 | Americas 
CALPINE CORPORATION|UTILITIES|CORP|                                            54,607,962 |                                                      13 |                                      317,431,000 |                                                    109 | Americas 
RYDER SYSTEM, INC.|INDUSTRIALS|CORP|                                            54,539,392 |                                                      11 |                                      144,060,000 |                                                     48 | Americas 
DARDEN RESTAURANTS, INC.|CONSUMER SERVICES|CORP|                                            54,407,046 |                                                      10 |                                      109,000,000 |                                                     28 | Americas 
LOUIS DREYFUS COMPANY B.V.|CONSUMER GOODS|CORP|                                            54,141,377 |                                                      14 |                                      516,301,450 |                                                     95 | Europe 
BATH & BODY WORKS, INC.|CONSUMER SERVICES|CORP|                                            53,869,231 |                                                      18 |                                      298,150,000 |                                                    121 | Americas 
BARRICK GOLD CORPORATION|BASIC MATERIALS|CORP|                                            53,867,042 |                                                      10 |                                      101,400,000 |                                                     27 | Americas 
LOCKHEED MARTIN CORPORATION|INDUSTRIALS|CORP|                                            52,636,506 |                                                      10 |                                      128,500,000 |                                                     40 | Americas 
SIMON PROPERTY GROUP, L.P.|FINANCIALS|CORP|                                            52,067,938 |                                                      14 |                                      157,467,000 |                                                     50 | Americas 
STMICROELECTRONICS N.V.|TECHNOLOGY|CORP|                                            52,053,832 |                                                      14 |                                      766,904,923 |                                                    206 | Europe 
XEROX CORPORATION|TECHNOLOGY|CORP|                                            51,968,122 |                                                      18 |                                      204,800,000 |                                                     99 | Americas 
JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY|INDUSTRIALS|CORP|                                            51,903,477 |                                                        8 |                                       83,800,000 |                                                     26 | Americas 
HOST HOTELS & RESORTS, L.P.|FINANCIALS|CORP|                                            51,508,554 |                                                      17 |                                      266,850,000 |                                                     98 | Americas 
