Reference EntityFEDERATIVE REPUBLIC OF BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                                 2,384,425,942 |Average Number of Trades/Week                                              297 |Notional traded in prior 8 Weeks                              8,617,690,932 |Contracts traded in prior 8 Weeks                                            1,027 |DC Region  Americas  
ROYAL CARIBBEAN CRUISES LTD.|CONSUMER SERVICES|CORP|                                  161,490,223 |                                               64 |                               464,590,400 |                                              267 |  Americas  
THE BOEING COMPANY|INDUSTRIALS|CORP|                                  156,733,734 |                                               53 |                               657,162,333 |                                              285 |  Americas  
CITIGROUP INC.|FINANCIALS|CORP|                                  156,029,581 |                                               17 |                               677,895,000 |                                                96 |  Americas  
ARCELORMITTAL|BASIC MATERIALS|CORP|                                  146,837,586 |                                               40 |                               536,721,123 |                                              176 |  Europe  
RENAULT|CONSUMER GOODS|CORP|                                  144,439,905 |                                               30 |                               594,705,007 |                                              139 |  Europe  
LLOYDS BANKING GROUP PLC|FINANCIALS|CORP|                                  144,194,711 |                                               29 |                               817,549,982 |                                              157 |  Europe  
OCCIDENTAL PETROLEUM CORPORATION|ENERGY|CORP|                                  139,993,531 |                                               67 |                               775,193,400 |                                              473 |  Americas  
BANCO BILBAO VIZCAYA ARGENTARIA, SOCIEDAD ANONI style='display:none'>MA|FINANCIALS|CORP|                                  137,527,525 |                                               25 |                               643,297,700 |                                              128 |  Europe  
BP P.L.C.|ENERGY|CORP|                                  137,016,789 |                                               24 |                               436,589,195 |                                                92 |  Europe  
BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT|CONSUMER GOODS|CORP|                                  133,887,248 |                                               21 |                               596,758,616 |                                                81 |  Europe  
BANCO SANTANDER, S.A.|FINANCIALS|CORP|                                  133,608,814 |                                               25 |                               517,280,986 |                                              100 |  Europe  
JPMORGAN CHASE & CO.|FINANCIALS|CORP|                                  133,271,462 |                                               14 |                               657,269,207 |                                                66 |  Americas  
ROYAL DUTCH SHELL PLC|ENERGY|CORP|                                  130,276,625 |                                               23 |                               629,981,902 |                                                85 |  Europe  
PETROLEOS MEXICANOS|ENERGY|STATBODY|                                  129,991,363 |                                               37 |                               575,801,550 |                                              130 |  Americas  
KINGDOM OF THAILAND|GOVERNMENT|SOV|                                  129,948,846 |                                               13 |                               436,500,000 |                                                65 |  Asia Ex-Japan  
BNP PARIBAS|FINANCIALS|CORP|                                  128,952,265 |                                               19 |                               602,249,083 |                                              103 |  Europe  
TUI AG|CONSUMER SERVICES|CORP|                                  127,742,499 |                                               44 |                               551,042,948 |                                              165 |  Europe  
TELEFONICA, S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                  126,976,011 |                                               24 |                               463,690,377 |                                              103 |  Europe  
TELECOM ITALIA SPA|TELECOMMUNICATIONS SERVICES|CORP|                                  125,447,756 |                                               32 |                             1,122,184,291 |                                              230 |  Europe  
SOCIETE GENERALE|FINANCIALS|CORP|                                  123,977,080 |                                               19 |                               500,300,852 |                                                76 |  Europe  
NATWEST GROUP PLC|FINANCIALS|CORP|                                  123,756,726 |                                               25 |                               480,421,192 |                                              116 |  Europe  
JAGUAR LAND ROVER AUTOMOTIVE PLC|CONSUMER GOODS|CORP|                                  123,143,072 |                                               45 |                               218,381,313 |                                              126 |  Europe  
CARNIVAL CORPORATION|CONSUMER SERVICES|CORP|                                  118,008,987 |                                               56 |                               548,444,400 |                                              334 |  Americas  
TRANSOCEAN INC.|ENERGY|CORP|                                  117,413,188 |                                               56 |                               671,932,600 |                                              339 |  Americas  
BANK OF AMERICA CORPORATION|FINANCIALS|CORP|                                  116,092,033 |                                               12 |                               467,531,081 |                                                63 |  Americas  
METLIFE, INC.|FINANCIALS|CORP|                                  112,703,262 |                                               34 |                               242,435,800 |                                              108 |  Americas  
KOHL'S CORPORATION|CONSUMER SERVICES|CORP|                                  111,883,954 |                                               62 |                               562,608,400 |                                              318 |  Americas  
THE HERTZ CORPORATION|CONSUMER SERVICES|CORP|                                  111,262,440 |                                               76 |                                   3,000,000 |                                                  1 |  Americas  
COMMERZBANK AKTIENGESELLSCHAFT|FINANCIALS|CORP|                                  109,648,405 |                                               22 |                               713,351,759 |                                              114 |  Europe  
CVS HEALTH CORPORATION|CONSUMER SERVICES|CORP|                                  109,300,824 |                                               26 |                               399,960,400 |                                              100 |  Americas  
WELLS FARGO & COMPANY|FINANCIALS|CORP|                                  108,960,383 |                                               12 |                               688,199,009 |                                                72 |  Americas  
NORDSTROM, INC.|CONSUMER SERVICES|CORP|                                  108,480,257 |                                               50 |                               433,434,400 |                                              215 |  Americas  
MORGAN STANLEY|FINANCIALS|CORP|                                  106,872,100 |                                               15 |                               593,285,000 |                                              134 |  Americas  
REPSOL, S.A.|ENERGY|CORP|                                  106,263,076 |                                               24 |                               440,615,859 |                                                79 |  Europe  
ANGLO AMERICAN PLC|BASIC MATERIALS|CORP|                                  104,575,822 |                                               26 |                               328,918,124 |                                              111 |  Europe  
APACHE CORPORATION|ENERGY|CORP|                                  102,272,831 |                                               48 |                               524,921,400 |                                              281 |  Americas  
CASINO GUICHARD-PERRACHON|CONSUMER SERVICES|CORP|                                  102,268,088 |                                               35 |                               376,238,077 |                                              228 |  Europe  
MARKS AND SPENCER P.L.C.|CONSUMER SERVICES|CORP|                                  102,161,634 |                                               27 |                               449,146,808 |                                              152 |  Europe  
VODAFONE GROUP PUBLIC LIMITED COMPANY|TELECOMMUNICATIONS SERVICES|CORP|                                  102,123,835 |                                               14 |                               686,850,232 |                                              126 |  Europe  
UNITED STATES STEEL CORPORATION|BASIC MATERIALS|CORP|                                    99,877,808 |                                               50 |                               526,300,000 |                                              183 |  Americas  
ELECTRICITE DE FRANCE|UTILITIES|CORP|                                    99,358,736 |                                               17 |                               254,843,796 |                                                57 |  Europe  
TOTAL SE|ENERGY|CORP|                                    99,351,688 |                                               16 |                               403,859,066 |                                                62 |  Europe  
BARCLAYS BANK PLC|FINANCIALS|CORP|                                    98,868,400 |                                               11 |                               492,921,192 |                                                62 |  Europe  
DEVON ENERGY CORPORATION|ENERGY|CORP|                                    97,483,073 |                                               41 |                               386,082,400 |                                              178 |  Americas  
FIAT CHRYSLER AUTOMOBILES N.V.|CONSUMER GOODS|CORP|                                    97,426,058 |                                               26 |                               769,694,508 |                                              238 |  Europe  
EXPEDIA GROUP, INC.|CONSUMER SERVICES|CORP|                                    97,115,255 |                                               47 |                               540,331,400 |                                              252 |  Americas  
ENBRIDGE INC.|ENERGY|CORP|                                    96,828,608 |                                               24 |                               672,149,400 |                                              124 |  Americas  
BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPA style='display:none'>NY|TELECOMMUNICATIONS SERVICES|CORP|                                    96,714,910 |                                               17 |                               362,182,665 |                                                91 |  Europe  
R.R. DONNELLEY & SONS COMPANY|INDUSTRIALS|CORP|                                    96,703,077 |                                               47 |                               567,750,000 |                                              146 |  Americas  
AXA|FINANCIALS|CORP|                                    96,589,319 |                                               14 |                               783,200,571 |                                              107 |  Europe  
BRITISH AMERICAN TOBACCO P.L.C.|CONSUMER GOODS|CORP|                                    96,151,660 |                                               18 |                               461,848,280 |                                              101 |  Europe  
AVIS BUDGET GROUP, INC.|CONSUMER SERVICES|CORP|                                    93,991,487 |                                               46 |                               254,542,000 |                                              176 |  Americas  
TESCO PLC|CONSUMER SERVICES|CORP|                                    93,603,815 |                                               22 |                               526,470,462 |                                              179 |  Europe  
CARREFOUR|CONSUMER SERVICES|CORP|                                    91,069,684 |                                               16 |                               423,467,866 |                                                67 |  Europe  
CANADIAN NATURAL RESOURCES LIMITED|ENERGY|CORP|                                    91,066,031 |                                               32 |                               251,008,400 |                                              136 |  Americas  
