Reference EntityFEDERATIVE REPUBLIC OF BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                                 2,384,425,942 |Average Number of Trades/Week                                              297 |Notional traded in prior 8 Weeks                              8,617,690,932 |Contracts traded in prior 8 Weeks                                            1,027 |DC Region  Americas  
REPUBLIC OF PANAMA|GOVERNMENT|SOV|                                    69,627,692 |                                               18 |                               278,810,000 |                                                88 |  Americas  
AMERICAN AXLE & MANUFACTURING, INC.|CONSUMER GOODS|CORP|                                    69,530,616 |                                               29 |                               228,846,028 |                                              118 |  Americas  
CATERPILLAR INC.|INDUSTRIALS|CORP|                                    69,146,262 |                                               20 |                               245,560,400 |                                                97 |  Americas  
AVIVA PLC|FINANCIALS|CORP|                                    68,793,616 |                                               10 |                               365,711,849 |                                                63 |  Europe  
THE PROCTER & GAMBLE COMPANY|CONSUMER GOODS|CORP|                                    68,760,471 |                                               15 |                               301,104,607 |                                                84 |  Americas  
HSBC BANK PLC|FINANCIALS|CORP|                                    68,297,154 |                                                 8 |                               155,770,838 |                                                27 |  Europe  
PITNEY BOWES INC.|TECHNOLOGY|CORP|                                    67,608,423 |                                               27 |                               730,672,000 |                                              286 |  Americas  
RYDER SYSTEM, INC.|INDUSTRIALS|CORP|                                    67,413,415 |                                               24 |                               339,351,400 |                                              116 |  Americas  
TECK RESOURCES LIMITED|ENERGY|CORP|                                    66,518,915 |                                               30 |                               290,758,400 |                                              145 |  Americas  
DEERE & COMPANY|INDUSTRIALS|CORP|                                    66,363,069 |                                               18 |                               128,310,400 |                                                44 |  Americas  
BEAZER HOMES USA, INC.|CONSUMER GOODS|CORP|                                    66,192,308 |                                               24 |                               467,137,000 |                                              134 |  Americas  
MCDONALD'S CORPORATION|CONSUMER SERVICES|CORP|                                    66,128,839 |                                               19 |                               178,310,400 |                                                74 |  Americas  
IBERDROLA, S.A.|UTILITIES|CORP|                                    66,120,501 |                                                 9 |                               651,521,948 |                                                84 |  Europe  
WHIRLPOOL CORPORATION|CONSUMER GOODS|CORP|                                    65,713,031 |                                               19 |                               224,580,800 |                                                99 |  Americas  
MARRIOTT INTERNATIONAL, INC.|CONSUMER SERVICES|CORP|                                    65,667,912 |                                               27 |                               349,344,400 |                                              146 |  Americas  
KINDER MORGAN, INC.|ENERGY|CORP|                                    65,570,069 |                                               22 |                               173,540,400 |                                                76 |  Americas  
AMGEN INC.|HEALTHCARE|CORP|                                    65,389,439 |                                               16 |                               285,910,400 |                                                65 |  Americas  
MITSUI O.S.K. LINES, LTD.|INDUSTRIALS|CORP|                                    65,221,595 |                                               20 |                               225,520,906 |                                                41 |  Japan  
THE WILLIAMS COMPANIES, INC.|ENERGY|CORP|                                    65,025,685 |                                               26 |                               193,490,400 |                                              116 |  Americas  
REALOGY GROUP LLC|FINANCIALS|CORP|                                    64,916,000 |                                               30 |                               227,950,000 |                                                78 |  Americas  
THE KROGER CO.|CONSUMER SERVICES|CORP|                                    64,909,324 |                                               22 |                               241,702,400 |                                                89 |  Americas  
LAFARGEHOLCIM LTD|INDUSTRIALS|CORP|                                    64,160,121 |                                               16 |                               348,307,694 |                                                96 |  Europe  
AMERICAN INTERNATIONAL GROUP, INC.|FINANCIALS|CORP|                                    63,846,554 |                                               22 |                               207,860,400 |                                                67 |  Americas  
KOBE STEEL, LTD.|BASIC MATERIALS|CORP|                                    63,798,234 |                                               15 |                               496,360,573 |                                              112 |  Japan  
HOST HOTELS & RESORTS, L.P.|FINANCIALS|CORP|                                    63,431,738 |                                               25 |                               375,080,800 |                                              146 |  Americas  
D.R. HORTON, INC.|CONSUMER GOODS|CORP|                                    62,945,925 |                                               19 |                               298,180,198 |                                              117 |  Americas  
XEROX CORPORATION|TECHNOLOGY|CORP|                                    62,718,670 |                                               17 |                               283,148,000 |                                              104 |  Americas  
FEDERAL REPUBLIC OF GERMANY|GOVERNMENT|SOV|                                    62,380,121 |                                                 5 |                               174,100,000 |                                                22 |  Europe  
OVINTIV INC.|ENERGY|CORP|                                    62,294,051 |                                               34 |                               346,550,963 |                                              190 |  Americas  
EASTMAN CHEMICAL COMPANY|BASIC MATERIALS|CORP|                                    61,944,262 |                                               22 |                               165,710,400 |                                                60 |  Americas  
PEUGEOT SA|CONSUMER GOODS|CORP|                                    61,868,495 |                                               19 |                               376,411,471 |                                              100 |  Europe  
LOWE'S COMPANIES, INC.|CONSUMER SERVICES|CORP|                                    61,743,569 |                                               16 |                               163,460,400 |                                                51 |  Americas  
HP INC.|TECHNOLOGY|CORP|                                    61,719,338 |                                               20 |                               177,810,400 |                                                55 |  Americas  
CONTINENTAL AKTIENGESELLSCHAFT|CONSUMER GOODS|CORP|                                    60,905,907 |                                               14 |                               327,389,100 |                                                71 |  Europe  
NATURGY ENERGY GROUP, S.A.|UTILITIES|CORP|                                    60,526,757 |                                               12 |                               364,549,318 |                                                50 |  Europe  
ACCOR|CONSUMER SERVICES|CORP|                                    59,913,648 |                                               16 |                               387,468,148 |                                              107 |  Europe  
FORD MOTOR CREDIT COMPANY LLC|FINANCIALS|CORP|                                    59,094,115 |                                               17 |                               556,267,000 |                                              143 |  Americas  
STATE BANK OF INDIA|FINANCIALS|STATBODY|                                    59,079,808 |                                               11 |                               381,950,000 |                                                59 |  Asia Ex-Japan  
DARDEN RESTAURANTS, INC.|CONSUMER SERVICES|CORP|                                    58,969,798 |                                               22 |                               226,910,400 |                                                85 |  Americas  
THE SHERWIN-WILLIAMS COMPANY|BASIC MATERIALS|CORP|                                    58,782,454 |                                               23 |                               124,760,400 |                                                48 |  Americas  
LINCOLN NATIONAL CORPORATION|FINANCIALS|CORP|                                    58,612,554 |                                               22 |                               166,460,400 |                                                80 |  Americas  
INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED|FINANCIALS|CORP|                                    57,701,923 |                                                 5 |                               262,450,000 |                                                19 |  Asia Ex-Japan  
BAYER AKTIENGESELLSCHAFT|HEALTHCARE|CORP|                                    57,698,833 |                                               12 |                               339,785,042 |                                                73 |  Europe  
HONEYWELL INTERNATIONAL INC.|INDUSTRIALS|CORP|                                    57,429,723 |                                               14 |                               309,910,400 |                                                52 |  Americas  
UNITED AIRLINES HOLDINGS, INC.|INDUSTRIALS|CORP|                                    57,167,385 |                                               35 |                               355,941,000 |                                              154 |  Americas  
CMA CGM|INDUSTRIALS|CORP|                                    56,577,077 |                                               17 |                                 86,505,428 |                                                41 |  Europe  
AUTOZONE, INC.|CONSUMER SERVICES|CORP|                                    56,487,475 |                                               18 |                               176,760,400 |                                                56 |  Americas  
VALERO ENERGY CORPORATION|ENERGY|CORP|                                    56,121,223 |                                               22 |                               333,960,400 |                                              122 |  Americas  
THE WALT DISNEY COMPANY|CONSUMER SERVICES|CORP|                                    55,797,915 |                                               19 |                               177,060,400 |                                                61 |  Americas  
CAMPBELL SOUP COMPANY|CONSUMER GOODS|CORP|                                    55,784,670 |                                               18 |                               219,122,400 |                                                69 |  Americas  
JFE HOLDINGS, INC.|BASIC MATERIALS|CORP|                                    55,769,259 |                                               14 |                               120,560,308 |                                                24 |  Japan  
FREEPORT-MCMORAN INC.|BASIC MATERIALS|CORP|                                    55,543,176 |                                               20 |                               347,966,000 |                                              154 |  Americas  
ATLANTIA S.P.A.|INDUSTRIALS|CORP|                                    55,333,267 |                                               18 |                               786,133,794 |                                              258 |  Europe  
BAXTER INTERNATIONAL INC.|HEALTHCARE|CORP|                                    55,039,778 |                                               19 |                               150,710,400 |                                                53 |  Americas  
BHP GROUP LIMITED|BASIC MATERIALS|CORP|                                    54,805,286 |                                                 6 |                               373,148,018 |                                                20 |  Australia NZ  
ANA HOLDINGS INC.|INDUSTRIALS|CORP|                                    54,783,203 |                                               10 |                               151,928,664 |                                                25 |  Japan  
MARATHON PETROLEUM CORPORATION|ENERGY|CORP|                                    54,234,300 |                                               19 |                               134,690,400 |                                                61 |  Americas  
MARUBENI CORPORATION|ENERGY|CORP|                                    54,232,356 |                                               11 |                                 74,967,999 |                                                24 |  Japan  
COMCAST CORPORATION|CONSUMER SERVICES|CORP|                                    53,957,800 |                                               15 |                               239,210,400 |                                                56 |  Americas  
AIR FRANCE - KLM|INDUSTRIALS|CORP|                                    53,691,192 |                                               21 |                                 68,971,213 |                                                28 |  Europe  
ALLY FINANCIAL INC.|FINANCIALS|CORP|                                    53,518,262 |                                               21 |                               281,050,400 |                                              131 |  Americas  
ENERGY TRANSFER OPERATING, L.P.|ENERGY|CORP|                                    53,511,415 |                                               21 |                               168,510,400 |                                                87 |  Americas  
CONOCOPHILLIPS|ENERGY|CORP|                                    53,450,788 |                                               19 |                               178,650,800 |                                                69 |  Americas  
BRISTOL-MYERS SQUIBB COMPANY|HEALTHCARE|CORP|                                    53,442,170 |                                               19 |                               147,010,400 |                                                58 |  Americas  
CHINA DEVELOPMENT BANK|GOVERNMENT|CORP|                                    53,417,538 |                                                 5 |                               290,550,000 |                                                34 |  Asia Ex-Japan  
CREDIT AGRICOLE SA|FINANCIALS|CORP|                                    53,164,770 |                                               12 |                               200,123,880 |                                                49 |  Europe  
DISH DBS CORPORATION|CONSUMER SERVICES|CORP|                                    53,161,308 |                                               16 |                               286,504,000 |                                                84 |  Americas  
LANXESS AKTIENGESELLSCHAFT|BASIC MATERIALS|CORP|                                    52,946,797 |                                               14 |                               224,393,519 |                                                75 |  Europe  
DEUTSCHE TELEKOM AG|TELECOMMUNICATIONS SERVICES|CORP|                                    52,625,094 |                                               11 |                               389,718,052 |                                                56 |  Europe  
THE GOODYEAR TIRE & RUBBER COMPANY|CONSUMER GOODS|CORP|                                    52,548,346 |                                               25 |                               271,937,000 |                                              166 |  Americas  
DOMTAR CORPORATION|BASIC MATERIALS|CORP|                                    52,323,608 |                                               23 |                               237,501,400 |                                              109 |  Americas  
MOTOROLA SOLUTIONS, INC.|TECHNOLOGY|CORP|                                    52,288,569 |                                               16 |                               110,510,400 |                                                45 |  Americas  
ALTICE FRANCE|CONSUMER SERVICES|CORP|                                    51,904,749 |                                               19 |                               453,262,862 |                                              114 |  Europe  
MGM RESORTS INTERNATIONAL|CONSUMER SERVICES|CORP|                                    51,605,654 |                                               21 |                               316,900,000 |                                              155 |  Americas  
UKRAINE|GOVERNMENT|SOV|                                    51,321,269 |                                               13 |                               108,762,000 |                                                67 |  Europe  
NORFOLK SOUTHERN CORPORATION|INDUSTRIALS|CORP|                                    51,314,338 |                                               15 |                               179,010,400 |                                                42 |  Americas  
INTERNATIONAL PAPER COMPANY|BASIC MATERIALS|CORP|                                    51,207,723 |                                               17 |                               122,210,400 |                                                44 |  Americas  
NEWELL BRANDS INC.|CONSUMER GOODS|CORP|                                    51,165,035 |                                               17 |                               303,152,000 |                                              112 |  Americas  
CENTRICA PLC|UTILITIES|CORP|                                    51,047,817 |                                               13 |                               369,883,202 |                                              108 |  Europe  
AVNET, INC.|CONSUMER SERVICES|CORP|                                    50,670,915 |                                               20 |                               106,272,400 |                                                56 |  Americas  
OMNICOM GROUP INC.|CONSUMER SERVICES|CORP|                                    50,584,454 |                                               17 |                               251,010,400 |                                                63 |  Americas  
THE HARTFORD FINANCIAL SERVICES GROUP, INC.|FINANCIALS|CORP|                                    50,200,262 |                                               25 |                               123,410,400 |                                                66 |  Americas  
AUCHAN HOLDING|CONSUMER SERVICES|CORP|                                    50,120,018 |                                               13 |                               142,095,712 |                                                47 |  Europe  
IMPERIAL BRANDS PLC|CONSUMER GOODS|CORP|                                    50,066,167 |                                               12 |                               401,057,105 |                                                86 |  Europe  
GENERAL MILLS, INC.|CONSUMER GOODS|CORP|                                    50,033,939 |                                               16 |                                 95,360,400 |                                                45 |  Americas  
MONDELEZ INTERNATIONAL, INC.|CONSUMER GOODS|CORP|                                    49,971,170 |                                               15 |                               125,210,400 |                                                44 |  Americas  
UBS AG|FINANCIALS|CORP|                                    49,900,278 |                                                 6 |                               355,217,510 |                                                64 |  Europe  
HCA INC.|HEALTHCARE|CORP|                                    49,652,462 |                                               17 |                               300,398,000 |                                              136 |  Americas  
ALTRIA GROUP, INC.|CONSUMER GOODS|CORP|                                    49,434,901 |                                               18 |                               152,210,400 |                                                58 |  Americas  
MEDIOBANCA BANCA DI CREDITO FINANZIARIO SOCIETA  style='display:none'>PER AZIONI|FINANCIALS|CORP|                                    49,417,536 |                                               10 |                               318,033,131 |                                                87 |  Europe  
BARRICK GOLD CORPORATION|BASIC MATERIALS|CORP|                                    49,146,646 |                                               20 |                               150,210,400 |                                                69 |  Americas  
LENNAR CORPORATION|CONSUMER GOODS|CORP|                                    48,817,038 |                                               24 |                               270,417,000 |                                                92 |  Americas  
ASSURED GUARANTY MUNICIPAL CORP.|FINANCIALS|CORP|                                    48,372,827 |                                               21 |                               146,380,800 |                                                62 |  Americas  
KB HOME|CONSUMER GOODS|CORP|                                    48,280,038 |                                               20 |                               246,787,000 |                                                95 |  Americas  
PUBLICIS GROUPE SA|CONSUMER SERVICES|CORP|                                    47,852,058 |                                               10 |                               408,394,882 |                                                79 |  Europe  
AMERICAN EXPRESS COMPANY|FINANCIALS|CORP|                                    47,512,828 |                                               16 |                               357,263,400 |                                                94 |  Americas  
BEST BUY CO., INC.|CONSUMER SERVICES|CORP|                                    47,217,512 |                                               20 |                               132,935,400 |                                                61 |  Americas  
NIPPON YUSEN KABUSHIKI KAISHA|INDUSTRIALS|CORP|                                    46,441,765 |                                               15 |                               113,121,456 |                                                46 |  Japan  
KINGDOM OF BELGIUM|GOVERNMENT|SOV|                                    46,311,234 |                                                 5 |                               243,700,000 |                                                42 |  Europe  
ARROW ELECTRONICS, INC.|CONSUMER SERVICES|CORP|                                    46,232,969 |                                               18 |                                 89,489,800 |                                                74 |  Americas  
THE HOME DEPOT, INC.|CONSUMER SERVICES|CORP|                                    45,461,515 |                                               14 |                               106,310,400 |                                                43 |  Americas  
PORTUGUESE REPUBLIC|GOVERNMENT|SOV|                                    45,356,650 |                                                 6 |                               196,581,000 |                                                27 |  Europe  
UNITEDHEALTH GROUP INCORPORATED|HEALTHCARE|CORP|                                    45,333,539 |                                               13 |                                 77,710,400 |                                                41 |  Americas  
BOSTON SCIENTIFIC CORPORATION|HEALTHCARE|CORP|                                    45,330,824 |                                               15 |                               172,413,400 |                                                52 |  Americas  
PFIZER INC.|HEALTHCARE|CORP|                                    44,124,501 |                                               15 |                               134,220,400 |                                                52 |  Americas  
WALMART INC.|CONSUMER SERVICES|CORP|                                    44,040,955 |                                               14 |                               273,510,400 |                                                63 |  Americas  
QUEST DIAGNOSTICS INCORPORATED|HEALTHCARE|CORP|                                    43,977,454 |                                               19 |                               135,630,800 |                                                76 |  Americas  
ORANGE|TELECOMMUNICATIONS SERVICES|CORP|                                    43,719,332 |                                                 9 |                               384,181,220 |                                                54 |  Europe  
INEOS GROUP HOLDINGS S.A.|BASIC MATERIALS|CORP|                                    43,674,653 |                                               13 |                               154,590,181 |                                                56 |  Europe  
TARGET CORPORATION|CONSUMER SERVICES|CORP|                                    43,527,092 |                                               16 |                               112,539,400 |                                                41 |  Americas  
LOEWS CORPORATION|FINANCIALS|CORP|                                    43,371,285 |                                               14 |                               229,767,400 |                                                53 |  Americas  
ENGIE|UTILITIES|CORP|                                    43,160,326 |                                                 6 |                               267,024,541 |                                                45 |  Europe  
