Reference EntityFEDERATIVE REPUBLIC OF BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                               1,326,487,895 |Average Number of Trades/Week                                            152 |Notional traded in prior 8 Weeks                            7,961,987,189 |Contracts traded in prior 8 Weeks                                             869 |DC Region  Americas  
TELECOM ITALIA SPA|TELECOMMUNICATIONS SERVICES|CORP|                                116,720,697 |                                             25 |                             606,865,349 |                                            210 |  Europe  
MACY'S, INC.|CONSUMER SERVICES|CORP|                                113,607,269 |                                             46 |                             773,974,000 |                                            310 |  Americas  
CITIGROUP INC.|FINANCIALS|CORP|                                110,258,740 |                                             11 |                             469,590,000 |                                              50 |  Americas  
ELECTRICITE DE FRANCE|UTILITIES|CORP|                                108,612,141 |                                             16 |                             645,215,652 |                                            112 |  Europe  
JPMORGAN CHASE & CO.|FINANCIALS|CORP|                                108,173,199 |                                             11 |                             340,470,000 |                                              56 |  Americas  
BANCO BILBAO VIZCAYA ARGENTARIA, SOCIEDAD ANONIMA|FINANCIALS|CORP|                                108,137,433 |                                             21 |                             532,235,265 |                                            125 |  Europe  
COMMERZBANK AKTIENGESELLSCHAFT|FINANCIALS|CORP|                                108,051,182 |                                             19 |                             504,597,770 |                                              93 |  Europe  
HELLENIC REPUBLIC|GOVERNMENT|SOV|                                103,957,957 |                                             19 |                             665,095,000 |                                            105 |  Europe  
BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT|CONSUMER GOODS|CORP|                                103,368,873 |                                             18 |                             778,910,364 |                                            125 |  Europe  
VODAFONE GROUP PUBLIC LIMITED COMPANY|TELECOMMUNICATIONS SERVICES|CORP|                                102,022,153 |                                             15 |                             799,422,833 |                                            116 |  Europe  
TELEFONICA, S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                100,502,016 |                                             18 |                             655,353,525 |                                            133 |  Europe  
JAPAN|GOVERNMENT|SOV|                                100,457,566 |                                               6 |                           1,029,194,800 |                                              49 |  Japan  
TRANSOCEAN INC.|ENERGY|CORP|                                100,250,906 |                                             47 |                             764,127,000 |                                            384 |  Americas  
REPSOL, S.A.|ENERGY|CORP|                                  99,851,755 |                                             19 |                             517,653,258 |                                            109 |  Europe  
CARREFOUR|CONSUMER SERVICES|CORP|                                  98,947,807 |                                             12 |                             429,858,928 |                                              72 |  Europe  
BANK OF AMERICA CORPORATION|FINANCIALS|CORP|                                  98,726,402 |                                             11 |                             303,690,000 |                                              42 |  Americas  
NORDSTROM, INC.|CONSUMER SERVICES|CORP|                                  98,422,981 |                                             31 |                             729,523,274 |                                            221 |  Americas  
SOFTBANK GROUP CORP.|TELECOMMUNICATIONS SERVICES|CORP|                                  98,302,702 |                                             22 |                             711,295,632 |                                            169 |  Japan  
BANK OF CHINA LIMITED|FINANCIALS|CORP|                                  98,046,077 |                                             10 |                             448,810,000 |                                              40 |  Asia Ex-Japan  
FORD MOTOR COMPANY|CONSUMER GOODS|CORP|                                  96,240,889 |                                             37 |                             504,473,000 |                                            221 |  Americas  
MARKS AND SPENCER P.L.C.|CONSUMER SERVICES|CORP|                                  96,198,939 |                                             26 |                             942,907,431 |                                            266 |  Europe  
BERKSHIRE HATHAWAY INC.|FINANCIALS|CORP|                                  95,871,192 |                                             22 |                             778,295,391 |                                              76 |  Americas  
CASINO GUICHARD-PERRACHON|CONSUMER SERVICES|CORP|                                  95,584,234 |                                             35 |                             990,678,845 |                                            193 |  Europe  
RENAULT|CONSUMER GOODS|CORP|                                  95,383,996 |                                             22 |                             703,355,127 |                                            176 |  Europe  
ROYAL CARIBBEAN CRUISES LTD.|CONSUMER SERVICES|CORP|                                  93,215,192 |                                             37 |                             755,420,000 |                                            237 |  Americas  
MORGAN STANLEY|FINANCIALS|CORP|                                  88,173,059 |                                             13 |                             355,740,000 |                                              91 |  Americas  
STATE OF QATAR|GOVERNMENT|SOV|                                  87,112,500 |                                             12 |                             311,835,000 |                                              46 |  Europe  
METLIFE, INC.|FINANCIALS|CORP|                                  86,848,979 |                                             18 |                             330,660,000 |                                              86 |  Americas  
DISH DBS CORPORATION|CONSUMER SERVICES|CORP|                                  86,535,385 |                                             23 |                             365,690,000 |                                            168 |  Americas  
GENERAL MOTORS COMPANY|CONSUMER GOODS|CORP|                                  85,340,808 |                                             24 |                             510,236,000 |                                            223 |  Americas  
DEVON ENERGY CORPORATION|ENERGY|CORP|                                  85,033,732 |                                             27 |                             742,416,027 |                                            204 |  Americas  
UNIBAIL-RODAMCO-WESTFIELD SE|FINANCIALS|CORP|                                  83,873,675 |                                             18 |                             619,540,658 |                                            136 |  Europe  
ANGLO AMERICAN PLC|BASIC MATERIALS|CORP|                                  83,392,254 |                                             23 |                             440,676,980 |                                            127 |  Europe  
ARCELORMITTAL|BASIC MATERIALS|CORP|                                  82,891,975 |                                             22 |                             765,995,710 |                                            180 |  Europe  
PETROLEOS MEXICANOS|ENERGY|STATBODY|                                  81,955,869 |                                             21 |                             949,850,601 |                                            242 |  Americas  
APACHE CORPORATION|ENERGY|CORP|                                  81,891,077 |                                             42 |                             581,700,000 |                                            295 |  Americas  
NEXT PLC|CONSUMER SERVICES|CORP|                                  80,366,619 |                                             21 |                             406,126,726 |                                            157 |  Europe  
BRITISH AMERICAN TOBACCO P.L.C.|CONSUMER GOODS|CORP|                                  79,790,685 |                                             15 |                             403,824,569 |                                              58 |  Europe  
FIAT CHRYSLER AUTOMOBILES N.V.|CONSUMER GOODS|CORP|                                  79,639,475 |                                             26 |                             572,807,559 |                                            242 |  Europe  
LAFARGEHOLCIM LTD|INDUSTRIALS|CORP|                                  78,930,522 |                                             18 |                             421,553,186 |                                            101 |  Europe  
BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY|TELECOMMUNICATIONS SERVICES|CORP|                                  77,999,278 |                                             18 |                             291,848,211 |                                            197 |  Europe  
ENEL S.P.A.|UTILITIES|CORP|                                  77,001,045 |                                             19 |                             293,312,333 |                                              75 |  Europe  
ROYAL DUTCH SHELL PLC|ENERGY|CORP|                                  76,580,956 |                                             10 |                             177,774,090 |                                              41 |  Europe  
UNITED STATES STEEL CORPORATION|BASIC MATERIALS|CORP|                                  76,265,808 |                                             45 |                             858,593,000 |                                            414 |  Americas  
COMMONWEALTH OF AUSTRALIA|GOVERNMENT|SOV|                                  75,562,172 |                                               5 |                             392,900,000 |                                              40 |  Australia NZ  
ASSICURAZIONI GENERALI - SOCIETA PER AZIONI|FINANCIALS|CORP|                                  74,870,375 |                                             15 |                             539,308,213 |                                            138 |  Europe  
ARGENTINE REPUBLIC|GOVERNMENT|SOV|                                  74,376,750 |                                             28 |                             500,500,000 |                                            205 |  Americas  
VIRGIN MEDIA FINANCE PLC|TELECOMMUNICATIONS SERVICES|CORP|                                  74,003,521 |                                             23 |                             543,303,440 |                                            311 |  Europe  
E.ON SE|UTILITIES|CORP|                                  73,951,400 |                                             11 |                             427,467,409 |                                              67 |  Europe  
R.R. DONNELLEY & SONS COMPANY|INDUSTRIALS|CORP|                                  73,037,115 |                                             40 |                             493,240,000 |                                            225 |  Americas  
PETROLEO BRASILEIRO S/A PETROBRAS|ENERGY|CORP|                                  72,875,134 |                                             11 |                             694,600,000 |                                              90 |  Americas  
ORANGE|TELECOMMUNICATIONS SERVICES|CORP|                                  72,533,456 |                                             10 |                             468,119,740 |                                              62 |  Europe  
KOHL'S CORPORATION|CONSUMER SERVICES|CORP|                                  72,398,885 |                                             33 |                             385,946,000 |                                            188 |  Americas  
