Reference EntityFEDERATIVE REPUBLIC OF BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                               1,326,487,895 |Average Number of Trades/Week                                            152 |Notional traded in prior 8 Weeks                            7,961,987,189 |Contracts traded in prior 8 Weeks                                             869 |DC Region  Americas  
THE HARTFORD FINANCIAL SERVICES GROUP, INC.|FINANCIALS|CORP|                                  37,361,962 |                                             12 |                             236,289,000 |                                              93 |  Americas  
D.R. HORTON, INC.|CONSUMER GOODS|CORP|                                  37,191,731 |                                             10 |                             200,200,000 |                                            100 |  Americas  
ATLANTIA S.P.A.|INDUSTRIALS|CORP|                                  37,039,401 |                                             10 |                             328,758,371 |                                            116 |  Europe  
DOMTAR CORPORATION|BASIC MATERIALS|CORP|                                  36,933,269 |                                             12 |                             221,950,000 |                                              98 |  Americas  
MGM RESORTS INTERNATIONAL|CONSUMER SERVICES|CORP|                                  36,839,733 |                                             19 |                             290,018,000 |                                            146 |  Americas  
REALOGY GROUP LLC|FINANCIALS|CORP|                                  36,491,585 |                                             13 |                             303,750,000 |                                              93 |  Americas  
TELEFONAKTIEBOLAGET L M ERICSSON|TECHNOLOGY|CORP|                                  36,413,926 |                                               7 |                             183,244,487 |                                              54 |  Europe  
BEST BUY CO., INC.|CONSUMER SERVICES|CORP|                                  36,329,265 |                                             13 |                             140,300,000 |                                              56 |  Americas  
BARRICK GOLD CORPORATION|BASIC MATERIALS|CORP|                                  35,859,577 |                                             13 |                             167,981,000 |                                              58 |  Americas  
ABU DHABI|GOVERNMENT|STATE|                                  35,545,769 |                                               6 |                             333,600,000 |                                              42 |  Europe  
MARRIOTT INTERNATIONAL, INC.|CONSUMER SERVICES|CORP|                                  35,469,205 |                                             14 |                             181,722,000 |                                              69 |  Americas  
HANNOVER RUECK SE|FINANCIALS|CORP|                                  35,418,771 |                                               9 |                             324,206,445 |                                              62 |  Europe  
ASTRAZENECA PLC|HEALTHCARE|CORP|                                  34,854,243 |                                               5 |                             144,535,982 |                                              30 |  Europe  
MOTOROLA SOLUTIONS, INC.|TECHNOLOGY|CORP|                                  34,718,920 |                                               8 |                             122,700,000 |                                              47 |  Americas  
DANSKE BANK A/S|FINANCIALS|CORP|                                  34,595,255 |                                               6 |                             140,659,074 |                                              41 |  Europe  
BLOCK FINANCIAL LLC|FINANCIALS|CORP|                                  34,397,802 |                                             10 |                             170,950,000 |                                              48 |  Americas  
LOEWS CORPORATION|FINANCIALS|CORP|                                  34,177,654 |                                               8 |                             150,435,000 |                                              57 |  Americas  
DXC TECHNOLOGY COMPANY|TECHNOLOGY|CORP|                                  34,137,846 |                                             10 |                             199,500,000 |                                              67 |  Americas  
UNITED AIRLINES HOLDINGS, INC.|INDUSTRIALS|CORP|                                  34,131,462 |                                             14 |                             374,190,000 |                                            147 |  Americas  
ENERGY TRANSFER OPERATING, L.P.|ENERGY|CORP|                                  33,768,462 |                                             11 |                             248,737,000 |                                              84 |  Americas  
THE AES CORPORATION|UTILITIES|CORP|                                  33,657,885 |                                             16 |                             400,371,000 |                                            168 |  Americas  
THE GOODYEAR TIRE & RUBBER COMPANY|CONSUMER GOODS|CORP|                                  33,439,731 |                                             12 |                             320,250,000 |                                            129 |  Americas  
ZURICH INSURANCE COMPANY LTD|FINANCIALS|CORP|                                  33,360,427 |                                               8 |                             289,777,627 |                                              84 |  Europe  
T-MOBILE USA, INC.|TELECOMMUNICATIONS SERVICES|CORP|                                  33,287,692 |                                             10 |                             254,150,000 |                                            102 |  Americas  
NOKIA OYJ|TECHNOLOGY|CORP|                                  32,928,070 |                                             11 |                             241,295,129 |                                              84 |  Europe  
MITSUI O.S.K. LINES, LTD.|INDUSTRIALS|CORP|                                  32,807,293 |                                               8 |                               61,795,789 |                                              20 |  Japan  
YUM! BRANDS, INC.|CONSUMER SERVICES|CORP|                                  32,652,923 |                                             11 |                             260,080,000 |                                            110 |  Americas  
AKTIEBOLAGET VOLVO|INDUSTRIALS|CORP|                                  32,646,735 |                                               9 |                             255,948,631 |                                              55 |  Europe  
COMCAST CORPORATION|CONSUMER SERVICES|CORP|                                  32,566,923 |                                               8 |                             157,680,000 |                                              50 |  Americas  
STATE BANK OF INDIA|FINANCIALS|STATBODY|                                  32,474,038 |                                               5 |                             247,350,000 |                                              39 |  Asia Ex-Japan  
UPC HOLDING B.V.|TELECOMMUNICATIONS SERVICES|CORP|                                  32,343,649 |                                             13 |                             300,812,333 |                                            148 |  Europe  
ARDAGH PACKAGING FINANCE PUBLIC LIMITED COMPANY|INDUSTRIALS|CORP|                                  32,238,635 |                                             12 |                             381,966,319 |                                            153 |  Europe  
THE WILLIAMS COMPANIES, INC.|ENERGY|CORP|                                  32,217,308 |                                             13 |                             161,285,000 |                                              67 |  Americas  
THE WALT DISNEY COMPANY|CONSUMER SERVICES|CORP|                                  32,196,370 |                                               8 |                             208,200,000 |                                              46 |  Americas  
WEYERHAEUSER COMPANY|BASIC MATERIALS|CORP|                                  32,002,731 |                                               8 |                             228,893,000 |                                              53 |  Americas  
JOHNSON & JOHNSON|HEALTHCARE|CORP|                                  31,977,526 |                                               7 |                             107,245,669 |                                              31 |  Americas  
GENERAL MILLS, INC.|CONSUMER GOODS|CORP|                                  31,947,692 |                                               7 |                             154,200,000 |                                              47 |  Americas  
NATURGY ENERGY GROUP, S.A.|UTILITIES|CORP|                                  31,700,230 |                                               7 |                             230,989,823 |                                              58 |  Europe  
COMMUNITY HEALTH SYSTEMS, INC.|HEALTHCARE|CORP|                                  31,618,154 |                                             22 |                             450,765,000 |                                            348 |  Americas  
AUCHAN HOLDING|CONSUMER SERVICES|CORP|                                  31,524,385 |                                             10 |                               98,142,912 |                                              36 |  Europe  
NIPPON YUSEN KABUSHIKI KAISHA|INDUSTRIALS|CORP|                                  31,464,641 |                                               9 |                               94,490,252 |                                              18 |  Japan  
CLARIANT AG|BASIC MATERIALS|CORP|                                  31,273,788 |                                               8 |                             159,386,964 |                                              42 |  Europe  
NATIONAL AUSTRALIA BANK LIMITED|FINANCIALS|CORP|                                  31,245,441 |                                               5 |                             163,520,000 |                                              24 |  Australia NZ  
HP INC.|TECHNOLOGY|CORP|                                  30,916,923 |                                               8 |                             179,400,000 |                                              62 |  Americas  
COX COMMUNICATIONS, INC.|CONSUMER SERVICES|CORP|                                  30,857,497 |                                               6 |                             152,055,000 |                                              43 |  Americas  
COMPAGNIE DE SAINT-GOBAIN|INDUSTRIALS|CORP|                                  30,615,497 |                                               6 |                             155,076,326 |                                              35 |  Europe  
ANA HOLDINGS INC.|INDUSTRIALS|CORP|                                  30,554,653 |                                               6 |                               62,507,067 |                                              14 |  Japan  
SPRINT COMMUNICATIONS, INC.|TELECOMMUNICATIONS SERVICES|CORP|                                  30,521,962 |                                               7 |                             290,240,000 |                                              63 |  Americas  
MUENCHENER RUECKVERSICHERUNGS-GESELLSCHAFTAKTIENGESELLSCHAFT IN MUENCHEN|FINANCIALS|CORP|                                  30,402,089 |                                               7 |                             257,208,626 |                                              58 |  Europe  
NATIONAL RURAL UTILITIES COOPERATIVE FINANCE CORPORATION|FINANCIALS|CORP|                                  30,328,462 |                                               5 |                             152,950,000 |                                              44 |  Americas  
INTERNATIONAL LEASE FINANCE CORPORATION|INDUSTRIALS|CORP|                                  30,120,346 |                                             12 |                               91,109,000 |                                              40 |  Americas  
ZIGGO BOND COMPANY B.V.|CONSUMER SERVICES|CORP|                                  30,059,629 |                                               8 |                             213,510,007 |                                              73 |  Europe  
ALLIANZ SE|FINANCIALS|CORP|                                  29,965,415 |                                               8 |                             259,874,000 |                                              66 |  Europe  
FIRSTENERGY CORP.|UTILITIES|CORP|                                  29,958,808 |                                             10 |                             188,679,000 |                                              55 |  Americas  
TYSON FOODS, INC.|CONSUMER GOODS|CORP|                                  29,549,615 |                                               8 |                             149,400,000 |                                              47 |  Americas  
MURPHY OIL CORPORATION|ENERGY|CORP|                                  29,477,154 |                                             15 |                             373,040,000 |                                            211 |  Americas  
ERP OPERATING LIMITED PARTNERSHIP|FINANCIALS|CORP|                                  29,328,692 |                                             10 |                             153,180,000 |                                              53 |  Americas  
ALTRIA GROUP, INC.|CONSUMER GOODS|CORP|                                  29,184,304 |                                               8 |                             220,300,000 |                                              65 |  Americas  
OMNICOM GROUP INC.|CONSUMER SERVICES|CORP|                                  28,901,538 |                                               7 |                             172,550,000 |                                              47 |  Americas  
MONDELEZ INTERNATIONAL, INC.|CONSUMER GOODS|CORP|                                  28,785,572 |                                               7 |                               86,465,000 |                                              32 |  Americas  
AKZO NOBEL N.V.|BASIC MATERIALS|CORP|                                  28,558,863 |                                               6 |                             140,659,074 |                                              22 |  Europe  
MARATHON PETROLEUM CORPORATION|ENERGY|CORP|                                  28,321,192 |                                               9 |                             211,645,000 |                                              55 |  Americas  
DOMINION ENERGY, INC.|UTILITIES|CORP|                                  28,065,500 |                                               8 |                             171,150,000 |                                              66 |  Americas  
M.D.C. HOLDINGS, INC.|CONSUMER GOODS|CORP|                                  28,038,388 |                                               9 |                             254,909,091 |                                              92 |  Americas  
CAPITAL ONE BANK (USA), NATIONAL ASSOCIATION|FINANCIALS|STATBODY|                                  27,889,538 |                                               8 |                             112,800,000 |                                              34 |  Americas  
BOSTON SCIENTIFIC CORPORATION|HEALTHCARE|CORP|                                  27,839,231 |                                               7 |                             122,560,000 |                                              42 |  Americas  
JFE HOLDINGS, INC.|BASIC MATERIALS|CORP|                                  27,708,031 |                                               8 |                               43,909,531 |                                              16 |  Japan  
STORA ENSO OYJ|BASIC MATERIALS|CORP|                                  27,677,487 |                                               7 |                             112,430,337 |                                              24 |  Europe  
CLEVELAND-CLIFFS INC.|BASIC MATERIALS|CORP|                                  27,590,846 |                                             18 |                             206,845,000 |                                            103 |  Americas  
ALTICE FINCO S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                  27,436,781 |                                             10 |                             197,922,219 |                                              84 |  Europe  
BOPARAN FINANCE PLC|CONSUMER GOODS|CORP|                                  27,425,142 |                                             10 |                             114,438,042 |                                              55 |  Europe  
CIT GROUP INC.|FINANCIALS|CORP|                                  27,342,320 |                                               9 |                               84,930,000 |                                              42 |  Americas  
PRUDENTIAL PUBLIC LIMITED COMPANY|FINANCIALS|CORP|                                  27,255,643 |                                               7 |                             249,454,809 |                                              70 |  Europe  
CELLNEX TELECOM, S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                  27,105,851 |                                               8 |                             334,201,599 |                                            101 |  Europe  
NEXTERA ENERGY CAPITAL HOLDINGS, INC.|UTILITIES|CORP|                                  27,045,962 |                                               8 |                             164,700,000 |                                              79 |  Americas  
OLIN CORPORATION|BASIC MATERIALS|CORP|                                  26,896,731 |                                               9 |                               78,330,000 |                                              46 |  Americas  
ARROW ELECTRONICS, INC.|CONSUMER SERVICES|CORP|                                  26,683,538 |                                               9 |                             101,338,000 |                                              39 |  Americas  
CHUBB LIMITED|FINANCIALS|CORP|                                  26,564,269 |                                             11 |                             100,200,000 |                                              50 |  Americas  
LVMH MOET HENNESSY LOUIS VUITTON|CONSUMER GOODS|CORP|                                  26,445,286 |                                               4 |                               90,986,188 |                                              22 |  Europe  
TENCENT HOLDINGS LIMITED|TECHNOLOGY|CORP|                                  26,239,692 |                                               3 |                             324,863,000 |                                              38 |  Asia Ex-Japan  
CMA CGM|INDUSTRIALS|CORP|                                  26,107,202 |                                             11 |                             214,118,003 |                                              67 |  Europe  
TARGET CORPORATION|CONSUMER SERVICES|CORP|                                  26,063,919 |                                               7 |                             129,451,000 |                                              42 |  Americas  
SYNGENTA AG|BASIC MATERIALS|CORP|                                  26,028,345 |                                               9 |                             248,152,411 |                                            102 |  Europe  
WESTROCK MWV, LLC|INDUSTRIALS|CORP|                                  25,874,362 |                                               9 |                             118,920,000 |                                              52 |  Americas  
SIEMENS AKTIENGESELLSCHAFT|HEALTHCARE|CORP|                                  25,740,273 |                                               4 |                             280,024,515 |                                              46 |  Europe  
LOXAM|INDUSTRIALS|CORP|                                  25,618,348 |                                             12 |                             173,915,677 |                                              83 |  Europe  
INTERNATIONAL GAME TECHNOLOGY PLC|CONSUMER SERVICES|CORP|                                  25,516,235 |                                             11 |                             242,757,935 |                                            123 |  Europe  
NORTHROP GRUMMAN CORPORATION|INDUSTRIALS|CORP|                                  25,155,938 |                                               9 |                             127,153,000 |                                              71 |  Americas  
TEVA PHARMACEUTICAL INDUSTRIES LIMITED|HEALTHCARE|CORP|                                  25,011,538 |                                             11 |                             340,150,000 |                                            145 |  Americas  
THE PROCTER & GAMBLE COMPANY|CONSUMER GOODS|CORP|                                  24,703,269 |                                               5 |                               81,200,000 |                                              29 |  Americas  
COMPASS GROUP PLC|CONSUMER SERVICES|CORP|                                  24,613,260 |                                               4 |                               54,640,174 |                                              15 |  Europe  
SEMPRA ENERGY|UTILITIES|CORP|                                  24,300,000 |                                               5 |                               73,370,000 |                                              29 |  Americas  
PEARSON PLC|CONSUMER SERVICES|CORP|                                  24,184,997 |                                               6 |                             165,828,689 |                                              39 |  Europe  
PACKAGING CORPORATION OF AMERICA|INDUSTRIALS|CORP|                                  24,045,000 |                                             10 |                             162,985,000 |                                              92 |  Americas  
NEWMONT CORPORATION|BASIC MATERIALS|CORP|                                  23,971,385 |                                               9 |                             103,600,000 |                                              49 |  Americas  
CSX CORPORATION|INDUSTRIALS|CORP|                                  23,783,462 |                                               5 |                             130,160,000 |                                              37 |  Americas  
RITE AID CORPORATION|CONSUMER SERVICES|CORP|                                  23,717,218 |                                             12 |                             200,806,000 |                                            123 |  Americas  
ASSURED GUARANTY MUNICIPAL CORP.|FINANCIALS|CORP|                                  23,603,769 |                                             10 |                             177,000,000 |                                              60 |  Americas  
PORTUGUESE REPUBLIC|GOVERNMENT|SOV|                                  23,568,341 |                                               4 |                             139,734,970 |                                              31 |  Europe  
HAPAG-LLOYD AKTIENGESELLSCHAFT|INDUSTRIALS|CORP|                                  23,399,786 |                                               9 |                             124,614,926 |                                              70 |  Europe  
LLOYDS BANK PLC|FINANCIALS|CORP|                                  23,378,428 |                                               4 |                             151,963,896 |                                              39 |  Europe  
BOUYGUES|INDUSTRIALS|CORP|                                  23,265,223 |                                               6 |                               66,755,512 |                                              18 |  Europe  
LOWE'S COMPANIES, INC.|CONSUMER SERVICES|CORP|                                  22,920,843 |                                               6 |                             137,630,000 |                                              37 |  Americas  
NISSAN MOTOR CO., LTD.|CONSUMER GOODS|CORP|                                  22,896,935 |                                               7 |                               92,750,586 |                                              33 |  Japan  
KINGDOM OF BELGIUM|GOVERNMENT|SOV|                                  22,791,858 |                                               2 |                             148,400,000 |                                              10 |  Europe  
CHINA HUARONG INTERNATIONAL HOLDINGS LIMITED|FINANCIALS|CORP|                                  22,697,115 |                                               3 |                             161,450,000 |                                              20 |  Asia Ex-Japan  
ALSTOM|INDUSTRIALS|CORP|                                  22,676,324 |                                               3 |                             394,083,111 |                                              47 |  Europe  
LOCKHEED MARTIN CORPORATION|INDUSTRIALS|CORP|                                  22,517,823 |                                               7 |                               95,500,000 |                                              29 |  Americas  
FORTUM OYJ|UTILITIES|CORP|                                  22,437,483 |                                               5 |                               76,690,090 |                                              25 |  Europe  
PACTIV LLC|INDUSTRIALS|CORP|                                  22,075,115 |                                               9 |                             198,240,000 |                                            113 |  Americas  
STMICROELECTRONICS N.V.|TECHNOLOGY|CORP|                                  21,955,043 |                                               5 |                               82,595,105 |                                              19 |  Europe  
MGIC INVESTMENT CORPORATION|FINANCIALS|CORP|                                  21,893,528 |                                             13 |                             100,484,000 |                                              75 |  Americas  
UNITED RENTALS (NORTH AMERICA), INC.|INDUSTRIALS|CORP|                                  21,801,692 |                                               9 |                             131,190,000 |                                              67 |  Americas  
SES|TELECOMMUNICATIONS SERVICES|CORP|                                  21,733,852 |                                             10 |                             106,744,802 |                                              25 |  Europe  
STANDARD CHARTERED BANK|FINANCIALS|STATBODY|                                  21,340,924 |                                               4 |                               65,245,941 |                                              24 |  Europe  
